6811179
/m/025t_9_
/m/025t_9_
Michelle Paver
2004-09-30
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/08sdrw": "Adventure novel", "/m/02xlf": "Fiction"}
a 14
about 1
accepts 1
accuse 1
aid 1
air 1
all 1
along 1
also 1
an 3
and 25
animal 1
are 5
as 5
ask 1
at 1
attacked 1
avalanche 1
away 1
baby 1
back 2
be 4
bear 6
because 1
become 1
been 1
before 3
believes 2
believing 1
bigger 1
blinding 1
blood 3
boy 1
brightest 1
broth 1
but 2
by 13
camp 3
can 2
captors 1
captured 1
carries 1
cave 1
clan 6
clans 1
climb 1
close 1
comes 1
communicate 1
cooking 1
created 1
crossing 1
cub 6
day 1
days 1
debate 1
decided 1
dedicated 1
deer 1
demon 2
demonbear 1
destination 1
destroy 1
determination 1
dies 1
discovers 1
distance 1
doesnt 1
dog 1
down 1
during 1
each 1
eat 1
eaters 1
encounters 1
engulfed 1
ensuing 1
ensure 1
escapes 2
europethe 1
evil 1
fa 4
fall 1
falls 1
fate 2
father 5
fed 1
few 1
fights 2
find 3
finds 1
finkeddin 1
finkedinn 7
first 1
flow 1
followed 1
for 3
forest 5
form 1
freedom 1
friends 1
from 2
fulfillment 1
girl 1
glacial 1
go 2
good 1
group 1
guide 2
guided 1
has 2
have 2
he 11
head 2
heads 1
hears 1
heart 3
help 2
helped 1
hiding 1
high 1
him 6
himself 3
his 15
hord 5
howl 1
howls 2
huntergatherers 1
in 9
initially 1
innocence 1
interpretation 1
into 2
is 8
it 2
its 1
journey 1
kill 3
killed 2
killing 1
kills 1
kindness 1
later 1
leader 1
leaves 1
life 2
listener 2
live 2
lock 1
looks 1
made 1
mage 2
mages 1
makes 1
man 1
means 1
mountain 7
mountains 1
much 1
must 4
named 3
names 1
nanuak 4
nearby 1
nearly 1
new 1
north 2
oath 1
of 16
off 1
offer 1
on 2
one 5
only 1
or 1
order 1
orphaned 1
oslak 1
other 2
over 1
packbrother 1
part 3
particular 1
parts 1
place 1
please 1
possessed 1
possible 1
preagricultural 1
promising 1
prophecy 5
prove 1
purpose 1
quest 1
raven 6
ravens 2
realizes 3
recaptured 1
regain 1
releases 1
reluctantly 1
renn 4
represented 1
respect 1
rest 1
return 1
reveals 2
river 1
roe 1
rogue 1
rule 1
sacrificed 1
saeunn 1
says 1
second 1
see 1
shaman 1
should 1
silence 1
smells 1
so 1
sole 1
some 1
soon 1
soul 2
spirit 6
states 1
stealing 1
steam 1
stronger 1
summon 1
swear 1
take 1
taken 4
talks 1
teenage 1
tells 2
temporarily 1
temporary 1
that 8
the 64
their 4
then 1
thereby 1
they 4
third 1
this 2
three 1
thwarting 1
time 1
to 27
together 3
torak 34
treacherous 1
treats 1
tries 1
turned 1
turning 1
twelfth 1
under 1
unexpectedly 1
unlike 1
until 1
was 5
when 1
which 4
while 2
whistle 1
who 10
will 3
wins 1
with 7
wolf 14
wolves 1
world 6
year 1
