1908763
/m/065fd0
/m/065fd0
Terry Goodkind
2000-08-22
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/03qfd": "High fantasy"}
a 23
about 1
absolute 3
accomplishes 1
achieves 1
advance 1
after 3
against 4
all 2
allow 1
already 2
although 1
alturrang 4
amazement 1
an 2
and 40
another 2
any 2
anything 1
are 2
armies 1
army 2
around 2
arrives 1
as 10
at 6
attack 1
attaining 1
attempt 1
aweinspired 1
battle 1
battles 1
be 2
beauty 3
because 1
before 1
begin 1
begins 3
being 1
believes 1
better 2
blast 1
blow 3
bond 1
book 1
brother 5
build 1
built 1
but 2
by 1
can 4
cannot 1
capital 1
capturing 1
cara 4
carve 2
carves 1
cause 1
center 1
ceremony 1
change 1
choose 1
chooses 1
choosing 1
claimed 1
combat 1
combined 1
command 1
commanded 1
construction 1
continue 1
corridors 1
create 1
crowd 1
crowds 1
dark 3
day 1
death 2
deep 1
delivery 1
depiction 2
desperate 1
despite 1
destroy 2
determination 1
dhara 1
dharan 2
difficult 1
disguise 1
do 1
doctrine 2
does 1
done 1
doomed 1
draw 1
dreamwalker 1
duty 1
earlier 1
effect 1
efforts 1
emerges 1
emperor 1
enabling 1
encounters 1
end 2
enough 1
enslave 2
ensure 1
enter 1
enters 1
equality 1
erect 1
ever 2
everyone 2
existence 1
expects 1
eyes 1
faced 1
faith 2
fallen 2
falls 1
feel 1
fell 1
fight 2
fighting 3
finally 2
find 4
finds 1
fire 2
first 1
fizzles 1
for 10
force 1
forced 1
forces 2
forward 1
found 1
free 1
freedom 1
freely 1
frequently 1
friends 1
from 3
full 1
fully 1
further 1
gifts 1
give 1
gives 1
giving 1
glimpse 1
glorious 1
glory 1
go 1
goal 2
goals 1
grand 1
grasp 1
great 1
grown 1
had 3
halt 1
hammer 2
hands 1
happens 2
has 4
have 3
he 16
heal 2
heals 1
hearts 1
help 1
helps 1
her 10
herself 3
hideous 1
high 1
him 5
himself 3
his 10
homeland 1
hopeless 1
hoping 1
human 1
humanity 5
idea 3
immediate 1
immediately 2
impassive 1
imperial 3
in 26
individuals 1
informs 1
injured 2
inscribed 1
insight 1
insists 1
instructors 1
into 6
is 16
isolates 1
it 6
jagang 2
just 1
kahlan 17
kill 1
kills 1
knees 1
knowing 1
leader 1
leave 2
leaves 1
leaving 1
life 9
light 1
link 1
linking 1
live 3
lives 2
long 1
longer 1
looking 1
loss 1
loyalty 1
made 1
major 1
make 1
man 2
many 1
marble 1
masses 1
maternity 2
men 1
midlands 1
mindset 1
more 2
most 1
mountains 1
moved 1
moves 1
narev 3
nature 1
needy 1
new 6
next 1
nicci 11
no 2
not 3
notice 1
now 1
object 1
objections 1
of 44
off 2
old 3
on 4
once 1
one 7
only 7
opposite 1
or 1
order 15
orders 2
others 1
out 1
outlook 1
outraged 1
over 2
overseeing 1
own 4
pains 3
palace 4
people 5
perfection 2
person 1
pile 1
playing 1
pledge 1
pledged 1
plight 1
point 1
points 1
poor 2
pride 1
proclaimed 1
proclaiming 1
prophets 1
proud 1
provided 1
provides 1
punishment 1
purposes 2
put 1
ranks 1
rare 1
realize 1
realized 1
realizes 1
really 1
rebellion 1
rebels 1
record 1
recovery 1
refuses 1
reintroduced 1
rejoin 1
removes 1
repulsed 1
require 1
resistance 1
result 1
returned 1
reveals 1
revolt 1
richard 24
richards 1
right 1
robes 1
rubble 1
runs 1
save 1
sculptor 1
sculpture 1
search 1
see 5
seeing 2
seen 2
sees 2
self 1
serve 1
severing 1
shatters 2
she 10
shock 2
shoulder 1
showing 1
shows 1
side 1
significant 1
sister 2
situation 1
slavery 2
slaves 1
sleeping 1
slowly 1
so 2
soldier 1
something 1
soon 2
soul 2
spell 1
stabbed 1
statue 7
steel 1
step 1
stone 1
stood 1
stringent 1
subsequent 1
surroundings 1
swings 1
sword 3
system 1
take 2
takes 2
taking 1
taught 1
teachings 1
tears 1
telling 1
than 1
that 17
the 103
their 6
them 2
themselves 2
then 2
they 8
this 3
through 1
timber 1
time 5
tirelessly 1
title 1
to 52
towards 1
trio 1
troops 1
true 2
truth 2
two 1
under 1
undo 1
unsupported 1
until 1
up 2
upon 1
upper 1
uses 1
using 1
value 1
ven 1
verna 2
very 2
vowed 1
wakes 1
want 1
warren 2
was 2
watch 1
way 2
wedding 1
well 1
westland 1
what 1
when 2
where 3
which 1
while 2
white 1
who 3
will 4
win 1
wishes 3
with 5
wizard 1
women 1
wonder 1
woods 1
work 3
working 1
works 1
world 5
would 1
wound 1
wrong 1
zedd 1
