28982057
/m/0dgnxsj
/m/0dgnxsj
Iain Banks
2010-10-07
270 1
70 1
a 21
aboard 1
abolished 1
about 1
academics 1
accepting 1
according 1
accumulated 1
ad 1
advanced 1
after 2
afterlife 1
afterlives 1
agent 2
agents 1
alive 1
all 1
allow 1
also 2
an 5
and 13
another 1
antihell 2
any 1
appearing 1
appears 1
are 1
around 1
arrange 1
arrive 1
as 7
at 2
attack 5
attacking 1
attempt 1
attempts 2
back 1
banks 2
be 5
become 1
been 2
begins 1
behind 1
belong 1
binding 1
bitplayer 1
blamed 1
book 3
businessman 1
but 3
by 4
can 1
cannot 1
century 1
chapter 1
character 1
chattel 1
chay 3
cheatattempting 1
chel 1
come 1
conspire 2
constraints 1
contracts 1
convince 1
country 1
covers 1
critical 1
culture 8
cultures 1
dead 1
deal 2
debacle 1
decades 1
decisions 1
depicted 1
destroyed 1
destroys 1
detail 1
details 1
determine 2
directly 1
disallow 1
during 1
each 1
earlier 1
eight 1
enablement 1
ensure 1
enter 1
environments 1
escape 1
estate 3
events 3
existence 1
experiences 1
falling 1
fiercely 1
final 2
finally 1
find 1
finds 1
first 1
for 2
fortune 1
fought 1
frequent 1
from 4
galaxy 1
game 1
gamethe 1
general 1
getting 1
given 1
gradually 1
gyorni 1
hack 1
hardware 2
has 5
have 2
having 1
he 8
head 1
heaven 1
heavenhas 1
hell 4
hells 7
her 1
him 3
himself 2
hinges 1
his 7
homeworld 1
hot 1
hundred 2
if 1
immediately 1
implanted 1
in 16
indentured 1
individual 1
industrialist 2
initially 1
instrumental 1
into 1
involuntary 1
involvement 2
is 16
it 1
joiler 1
kill 1
killing 1
known 1
lace 1
last 1
least 1
leave 1
located 1
look 1
made 1
main 1
mansion 1
meanwhile 1
mind 1
mindstates 1
mission 1
moral 1
more 3
motivation 1
multiplanet 1
murdered 1
name 1
neural 1
normal 1
novel 1
novels 1
nsokyi 2
occur 1
occurs 1
of 19
on 7
one 1
opted 1
or 3
other 1
out 3
outcome 1
outside 1
over 1
owned 1
pantheon 1
pavulean 3
pavuleans 1
personal 1
place 1
planet 2
playboy 1
plot 1
policy 1
population 1
position 1
preventing 1
previously 1
prin 4
prohell 1
protagonistslededje 1
providing 1
public 1
pursuit 1
quietus 1
ranks 1
rapeis 1
real 1
reincarnated 1
release 1
restored 1
return 1
reveal 1
revealed 3
revelation 1
richest 1
role 1
run 2
running 2
runs 1
same 1
sanity 1
secret 2
secretly 1
semblance 1
set 1
sets 1
several 1
she 4
ship 2
ships 1
should 1
showdown 1
sichult 3
sichultian 1
side 2
simulated 5
simulationsand 1
simultaneously 1
six 2
slave 2
society 1
soldier 2
some 4
someone 1
species 2
stay 1
still 1
stop 1
subsequently 1
succeeds 1
successfully 1
such 1
superai 1
surface 1
take 2
tasked 1
ten 1
testifies 1
that 5
the 55
their 1
them 1
then 1
they 3
things 1
this 1
to 35
tortured 2
travels 1
unexpectedly 1
up 2
upon 1
use 2
various 3
vatueil 2
veppers 9
victim 1
visiting 1
wants 1
war 7
warship 1
way 1
weapons 2
well 1
where 3
whether 1
which 6
while 3
who 1
will 1
windward 1
with 3
won 1
world 1
worthless 1
would 1
wriggle 1
ybreq 4
ybreqan 1
years 3
yime 2
zakalwe 1
