8954912
/m/027r2qn
/m/027r2qn
Brian Cleeve
1971-11-15
160s 1
a 3
about 1
against 1
an 1
and 1
are 1
as 1
at 1
attempt 1
be 1
block 1
business 1
by 2
centre 1
cleeve 1
coalition 1
concerned 1
corruption 1
determined 1
developer 1
development 1
dublin 1
during 1
dwelling 1
economic 1
erect 1
evicted 1
examples 1
expansion 1
for 1
francis 1
highlights 1
his 1
in 5
interests 1
ireland 1
irish 1
is 4
lemass 1
life 1
make 1
narrative 1
new 2
novel 1
occupants 1
occupied 1
of 5
office 1
opposed 1
order 1
orourke 2
period 1
pitted 1
place 1
plans 1
political 1
property 1
republic 1
sen 1
set 1
site 1
slum 1
story 1
taoiseach 1
that 2
the 9
time 1
to 4
took 1
unfolds 1
was 1
way 1
when 1
whose 1
with 1
