7446606
/m/0261_8v
/m/0261_8v
David Shannon
1998
a 7
after 1
again 1
also 1
amazing 1
an 1
and 8
are 1
as 2
at 1
bacteria 1
beans 3
because 2
become 1
bed 2
bedroom 1
before 2
berries 1
bitter 1
body 1
bring 1
but 2
by 3
call 1
calling 1
calls 1
camilla 6
can 1
case 1
cat 1
changes 1
color 1
colors 1
confronts 1
conscious 1
contagious 1
continues 1
control 1
counselor 1
cream 1
crystals 1
day 1
discover 1
doctor 3
doctors 1
does 1
doesnt 1
dresser 1
each 1
eat 1
exactly 1
examine 1
experts 2
face 2
faculty 1
feathers 1
feeling 1
find 1
first 1
fit 1
forms 1
frames 1
fungus 1
furry 1
girl 2
gives 1
go 1
grow 1
grows 1
has 1
he 1
her 12
herself 1
his 1
home 1
however 1
if 1
in 3
infections 1
inside 1
into 2
is 4
issues 1
it 1
kid 1
kids 1
lady 1
leaves 1
lima 2
long 1
loves 1
media 1
melts 1
mouth 1
named 1
not 1
of 2
offers 1
old 1
on 2
once 1
one 2
onto 1
or 1
other 3
out 1
parents 1
picture 1
pill 2
pills 1
recognizable 1
recognized 1
rejects 1
room 1
roots 1
school 1
second 1
self 1
sent 1
she 8
so 1
spiritual 1
still 2
stripes 2
swirl 1
tail 1
take 1
taking 2
talk 1
taunt 1
telling 1
that 2
the 18
them 1
then 6
there 1
thinking 1
this 2
thoughts 1
throws 1
time 1
to 9
transformed 1
transforming 1
two 1
unfortunately 1
until 1
up 2
verdict 1
virus 1
visits 1
wakes 2
walls 2
want 1
wants 1
when 1
while 1
who 1
with 1
woman 2
worried 1
