23731882
/m/06zq2vp
/m/06zq2vp
Karin Slaughter
2005
{"/m/0lsxr": "Crime Fiction"}
a 7
about 1
abused 1
accidental 1
affair 1
after 1
again 1
agrees 1
alive 1
an 2
and 8
another 1
are 1
arguing 1
assume 1
at 3
atlanta 1
autopsy 1
back 1
been 1
before 1
both 1
brings 1
buddy 1
buried 2
but 1
by 2
call 1
case 1
charismatic 1
church 1
click 1
coffin 1
coffins 1
conclusion 1
conford 1
cooperative 1
corpse 1
death 1
decides 1
discovery 1
escape 1
ethan 1
extraordinaire 1
facilitated 1
family 2
far 1
farming 1
finally 2
find 1
for 1
force 1
four 1
from 2
had 1
halfway 1
have 1
he 2
her 2
houses 1
identifies 1
identity 1
import 1
in 3
into 1
involves 1
it 2
jeffrey 3
knit 1
labor 1
large 1
late 1
lawyer 1
leads 1
least 1
led 1
lena 3
make 1
more 1
murdered 1
novel 1
of 1
oldest 1
on 1
one 1
oneeyed 1
onelegged 1
or 1
organic 1
out 1
outreach 1
owned 1
people 1
phone 1
populate 1
pregnant 1
program 1
proposals 1
pushes 1
relief 1
religious 1
remarry 1
reveals 1
sara 3
save 1
search 2
sharp 1
she 3
shelters 1
so 1
son 1
soybean 1
started 1
sticks 1
strippers 1
that 3
the 12
their 2
they 3
this 1
through 1
tightly 1
time 2
to 6
too 1
underground 1
unfaithful 1
walk 1
wants 1
was 5
when 2
while 1
who 1
with 2
woman 3
wooden 1
woods 1
young 1
