2327779
/m/074242
/m/074242
Terry Brooks
2001-09-18
a 4
above 1
access 1
actually 2
after 1
all 2
an 3
ancient 1
and 11
antrax 5
appears 1
are 1
arsenal 1
as 2
at 1
be 1
becoming 1
been 1
began 1
bek 1
believed 1
besieged 1
broke 1
brother 1
build 1
built 1
but 1
by 3
carries 1
castledown 1
caught 1
chooses 1
cintra 1
claims 1
companions 1
computer 1
confronts 1
continent 1
costs 1
could 1
created 1
creators 1
creepers 1
crew 1
danger 1
data 1
defence 1
despite 1
destroy 1
dies 1
druid 1
duty 1
elves 1
enormous 1
evil 1
experimental 1
fact 1
final 1
find 2
finds 1
for 1
force 1
forces 1
from 1
gave 1
given 1
great 1
grianne 1
have 1
he 3
here 1
himself 1
his 2
holds 1
however 2
humans 1
ilse 1
in 3
infant 1
information 4
initially 1
is 8
it 3
its 4
jerle 1
known 1
lasers 1
last 2
lost 1
magic 3
man 1
matter 1
meanwhile 1
mechanisms 1
mortally 1
new 1
no 2
now 1
of 8
ohmsford 2
old 1
on 1
order 1
oronyx 1
out 1
own 1
parkasia 1
plans 1
power 1
powerhungry 1
practical 1
price 1
process 1
protect 2
protg 1
quickly 1
realises 1
rebuild 1
returned 1
saw 1
science 1
searching 1
shannara 2
she 2
so 1
society 1
soon 1
split 1
store 1
stored 1
supercomputer 1
sword 1
takes 1
task 1
technology 1
that 5
the 25
themselves 1
then 1
there 1
they 2
this 1
time 1
to 9
trapped 1
unseen 1
up 1
used 1
voyage 1
walker 3
war 1
was 2
way 1
what 1
when 1
which 2
who 2
whole 1
wields 1
wishsong 1
witch 1
with 1
world 2
wounded 1
young 1
