28738140
/m/0czcjll
/m/0czcjll

2009
{"/m/016chh": "Memoir"}
a 7
about 1
achievements 1
again 1
alcohol 1
alcoholic 1
alcoholics 1
all 1
along 1
ameisen 3
an 5
and 17
anonymous 2
anxiety 1
article 1
as 1
attacks 1
attempts 2
attends 1
aware 1
baclofen 1
becomes 1
been 1
begins 2
being 1
blackout 1
book 2
business 1
but 1
by 4
call 1
cardiology 1
caused 1
chance 1
closes 1
committed 2
consequences 1
continues 1
controlling 1
cravings 1
day 1
despite 1
details 1
dies 1
different 1
doctor 1
doing 1
drink 2
drinking 5
drug 2
educated 1
elderly 1
embarrassing 1
emergency 1
ends 2
episode 1
eventually 1
everything 1
excess 1
expensive 2
experimenting 1
exstudents 1
faces 1
family 2
fear 1
feel 1
feeling 1
financial 1
findings 1
finds 1
for 5
france 1
french 1
friends 1
fully 1
get 1
gifted 1
girlfriend 2
goes 1
guidance 1
harming 1
has 2
he 16
him 2
his 13
history 1
home 1
hospital 2
how 1
hundreds 1
if 1
in 5
injuries 1
insecurity 1
intervention 1
is 7
it 1
keeps 1
licence 1
life 2
live 1
longer 1
losing 1
loss 1
loves 1
loving 1
many 1
medical 2
medication 1
meetings 1
more 1
mother 2
much 1
narcotics 1
needing 1
new 3
night 1
no 4
nonetheless 1
nothing 1
of 11
olivier 2
one 1
or 1
panic 1
part 1
patients 1
pianist 1
plagued 1
practice 1
practising 2
private 1
published 1
quits 1
reason 1
regardless 1
regularly 1
rehab 1
rehabs 1
relapse 1
relates 1
removes 1
research 1
researched 1
result 1
returns 1
room 1
ruin 1
second 1
seeks 1
sends 1
so 1
social 1
starts 2
stays 1
stop 1
suffered 1
sustained 1
takes 1
taking 1
that 2
the 7
there 2
this 1
throughout 1
to 12
treated 1
treatment 1
tries 1
unemployment 1
up 1
varied 1
various 1
ways 1
while 1
with 6
work 1
works 1
york 3
