2528063
/m/07l3v8
/m/07l3v8
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 5
accepted 1
after 2
against 2
allies 1
and 7
apprentice 1
as 4
bandomeer 1
become 1
boy 1
brings 1
by 1
captured 1
close 1
closer 1
corporation 1
dark 1
deep 1
during 1
escapes 1
even 1
face 1
facility 1
faction 1
fight 2
finally 1
force 1
forced 1
former 1
guerra 1
has 1
have 1
he 1
help 1
his 3
however 2
in 2
is 2
jedi 1
jinn 1
kenobi 1
lead 1
learner 1
major 1
master 1
meets 1
miners 1
mining 3
misses 1
mission 1
must 2
named 1
near 1
nearly 1
obiwan 8
of 2
offworld 3
on 2
padawan 2
past 1
phindian 1
quigon 7
refused 1
request 1
returns 1
reunite 1
sea 1
shaft 1
showdown 1
side 1
slave 1
some 1
soon 1
the 8
their 1
to 4
trapping 1
turned 1
where 1
who 1
work 1
xanatos 4
young 1
