3402689
/m/099p68
/m/099p68
Georgette Heyer
1957
{"/m/01qxvh": "Romance novel"}
a 8
about 1
absurdity 1
accept 1
accident 1
accidentally 1
accuses 1
across 1
after 3
again 1
agog 1
ailing 1
all 2
an 4
and 24
angry 1
are 2
arisen 1
arranges 1
arrogance 1
arrogant 2
as 3
at 4
attempts 1
author 4
away 4
back 1
be 2
because 2
been 1
before 1
being 4
beloved 1
between 1
beyond 1
blames 1
boards 1
book 2
broken 1
brother 3
bully 1
but 7
by 5
calls 1
cannot 1
capable 1
care 1
carriage 1
catches 1
causes 1
chance 1
change 1
charming 1
child 1
childhood 1
close 1
clumsily 1
come 1
comes 1
command 1
complains 1
confirms 1
consents 1
considering 1
considers 1
convinced 1
countryside 1
decided 1
decides 3
declares 2
departs 1
discuss 1
discussing 1
disgusted 1
do 1
dowager 1
duchess 1
duke 1
edmund 6
elopement 1
embroiled 1
england 1
escort 1
evil 2
exactly 1
excuse 1
executing 1
explain 1
extremely 1
fairytale 1
fallen 1
family 2
fascinates 1
father 2
feelings 1
feels 1
find 2
first 2
flight 1
foppish 1
for 7
forced 1
fotherby 2
france 4
friend 2
from 5
getting 1
godmother 1
going 1
got 1
granddaughter 1
grandmother 2
grief 1
guest 1
had 1
hand 1
happy 2
has 11
have 1
having 3
he 18
heir 1
help 3
helping 1
her 20
high 1
him 6
himself 1
his 12
home 1
honeymoon 1
how 1
hunt 1
hunting 1
hurt 1
husband 1
ianthe 7
idea 1
identity 1
ill 1
impertinent 1
impressed 1
in 13
ingham 6
inn 3
insipid 1
insults 1
intention 1
intervene 1
invited 1
is 30
it 2
journey 1
keep 1
kidnap 1
kidnapped 1
know 1
lady 13
late 2
learns 1
left 1
leg 1
lets 1
letter 1
live 2
living 1
london 6
look 1
loses 1
loss 1
lost 1
love 1
loves 2
made 1
make 2
man 1
manuscript 1
marriage 3
marry 2
matter 1
meet 1
meets 2
members 1
mistakenly 1
mother 4
much 1
must 2
naturally 1
near 1
nearest 1
needs 1
new 1
news 1
no 1
not 1
note 1
novel 3
nugent 1
of 22
offer 1
on 2
only 2
orde 2
orders 1
outraged 1
over 1
overjoyed 1
parallels 1
parents 1
paris 1
parody 1
peace 1
perceived 1
perfect 1
person 2
phoebe 33
place 1
plot 1
port 1
portrayal 1
presumes 1
progresses 1
proposal 1
proposes 1
prospects 1
protesting 1
public 1
published 2
publishers 1
punish 1
real 1
realise 1
realises 1
realizes 1
receives 1
recovering 1
regrets 1
reputation 1
return 1
round 1
ruining 1
rumour 1
run 2
runs 1
rushes 1
sail 1
salford 2
salvation 1
same 1
sarcasm 1
satirization 1
say 1
scandal 1
schooner 1
scotch 1
scrapes 1
seasick 1
see 1
sent 1
seriously 1
set 1
she 5
silly 1
sir 1
sisterinlaw 1
skipper 1
slighting 1
slip 1
small 1
smart 1
so 4
society 2
son 2
soon 1
sorry 1
stay 1
stays 1
stepmother 1
struck 1
suffered 1
suggested 1
summoned 1
sylvester 24
sympathy 1
tactlessly 1
take 3
taken 1
takes 1
taking 1
talentless 1
tells 2
terrified 1
that 14
the 41
their 4
them 2
then 2
therefore 1
they 2
thinks 1
this 1
though 1
to 42
tom 7
too 3
towards 1
travels 1
tries 1
truly 1
try 1
turn 1
twin 2
unaware 1
unfortunately 1
up 1
upon 2
very 3
visit 2
visits 1
want 1
was 1
wealthy 1
when 2
where 2
which 8
while 1
who 7
whom 1
whose 1
why 1
widow 1
will 2
with 12
women 1
writes 1
written 1
young 1
