4616808
/m/0ccw7n
/m/0ccw7n
Tracy Hickman
1985-07
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 29
able 2
above 1
accompany 1
advancing 1
adventurers 1
affair 1
after 1
afterwards 1
against 5
aggressively 1
agree 1
agreed 1
agrees 2
aid 1
alfred 2
alhana 4
all 5
alley 1
alliance 1
allies 2
allowed 1
alone 1
along 1
also 5
ambition 1
amidst 1
an 8
ancient 3
and 59
angry 1
another 1
ansalon 1
anyone 1
appears 1
architecture 1
are 17
arm 1
armor 1
army 1
arriving 1
artifact 1
as 6
asks 1
assault 1
assembled 1
attack 6
attacked 3
attacking 1
attacks 1
attempted 1
attention 1
avenue 1
away 2
back 4
backs 1
bakaris 1
bar 1
base 1
battle 1
be 3
became 1
become 1
becomes 1
been 5
before 4
begins 1
behalf 1
behind 1
being 2
believe 1
believing 1
below 1
besieging 1
between 5
bickering 1
bitter 1
blacksmith 1
blend 1
bloodbane 1
blue 6
body 2
both 2
breaks 1
brightblade 2
bring 3
brings 2
brought 2
bumbling 1
buried 1
burrfoot 1
burying 1
but 8
by 32
call 1
capable 1
capture 1
caramon 3
carry 1
cataclysm 1
causing 1
center 1
chamber 1
chambers 1
chaos 2
character 1
charges 2
charging 1
citizens 1
city 10
claims 1
cleared 1
clerist 3
collapse 1
command 2
commander 1
companions 2
company 1
completely 1
confronted 2
confusion 1
consider 1
controlling 1
controls 1
convened 1
council 2
crown 3
crownguard 2
cusp 1
cyan 1
dangerous 1
day 1
dead 1
death 1
decide 1
deep 1
defeats 1
defend 1
defenders 2
defending 1
defense 1
defuse 1
deliver 1
demonstrates 1
departing 1
departs 1
deranged 1
derek 14
descends 1
designed 2
desperate 1
destroyed 1
discover 1
dishonor 1
disreputable 1
does 2
draconians 1
dragon 22
dragonarmies 3
dragonarmy 8
dragonbane 1
dragonfear 1
dragonlance 1
dragonlances 3
dragons 6
dragontrap 1
dream 2
drives 2
due 1
during 1
dwarven 2
dwarves 2
dying 1
effort 1
either 1
elaborate 1
elf 2
elistan 1
elven 1
elves 8
embodied 1
en 1
encamped 1
end 1
ends 1
enemy 1
enigmatic 1
ergoth 2
escape 2
escapes 2
escort 1
escorts 1
established 1
eulogized 1
eventually 2
every 1
evident 1
existence 1
exlover 1
exonerated 1
experience 1
failure 1
family 1
far 1
father 1
fealthas 1
feels 1
few 2
fiery 1
fight 1
finally 2
find 2
finding 1
fizban 1
flee 1
flees 2
flint 4
flotsam 2
focus 1
for 8
force 3
forging 1
form 1
forth 1
fortified 1
found 1
free 1
freed 1
from 3
frontal 1
full 1
fully 1
further 1
gains 1
garrison 1
gilthanas 4
glacier 1
go 2
goes 2
goldmoon 1
good 1
great 1
greatly 1
green 1
griffins 1
grip 1
group 11
groups 2
grows 1
grudgingly 1
guards 1
guides 1
gunthar 3
had 1
halfelven 1
halfsister 1
hammer 1
has 8
have 3
he 7
headless 1
heals 1
held 1
help 1
her 9
hero 2
heroes 7
high 4
higher 1
highlord 3
him 3
his 5
home 2
homeland 1
honor 1
honored 1
house 1
huma 1
human 2
icewall 1
impressed 1
imprison 1
imprisoned 1
in 29
increasingly 1
informs 1
inhabited 1
inn 2
