8575069
/m/0278hwt
/m/0278hwt
Tahmima Anam
2007-03
{"/m/098tmk": "War novel", "/m/0hwxm": "Historical novel"}
about 1
after 1
along 1
also 1
ammunitions 1
and 1
army 1
as 2
attempt 1
bangladesh 1
by 1
came 1
character 1
children 2
conflict 1
covers 1
custody 1
death 1
describes 1
desperate 1
did 1
during 2
family 1
fighters 2
freedom 1
get 1
give 1
grandma 1
grandmother 1
haque 1
helped 1
her 6
house 1
husband 1
if 1
in 1
information 1
inner 1
involved 1
is 1
liberation 1
loses 1
minds 1
named 1
not 1
novel 1
of 6
once 1
person 1
plot 1
portrays 1
protect 1
protecting 1
rehana 2
she 4
somehow 1
son 1
story 2
successfully 1
tackled 1
take 1
that 1
the 19
their 1
them 3
they 2
threatened 1
to 3
tries 1
true 1
war 3
when 1
who 1
win 1
with 1
would 1
writer 1
youngest 1
