5995203
/m/0fjpxw
/m/0fjpxw
Allen Drury
1986

a 3
and 6
anything 1
are 1
as 1
atoll 2
base 1
be 1
by 1
called 1
congress 1
consolidated 1
construct 1
diplomacy 1
do 1
done 1
elsewhere 1
ends 1
failed 1
fails 1
frustrated 1
government 1
gradually 1
has 1
have 1
hold 1
if 1
in 1
infighting 1
inhabitants 1
invades 1
is 3
kill 1
major 1
militarily 1
missile 1
must 1
novel 1
occupies 1
on 1
pacific 1
pentagon 1
perceived 1
plans 1
proceeds 1
respond 3
so 1
soviet 1
soviets 1
sparselypopulated 1
states 2
submarine 1
the 10
their 1
this 1
though 1
threat 1
to 6
union 1
united 2
upon 1
us 1
when 2
which 1
within 1
