2279714
/m/070g3l
/m/070g3l
Anchee Min
2001
11 2
110 1
14 1
166 1
17 1
176 2
2 1
20s 1
83 1
a 34
able 1
about 2
absence 1
abusive 1
achieved 1
acknowledged 1
actions 1
activities 1
actors 1
actress 4
actually 4
adulterer 1
affair 2
affairs 1
after 6
against 3
age 2
ages 1
aides 1
aids 1
all 3
allegiances 1
allowed 3
already 1
although 4
always 1
ambition 1
amount 1
an 7
anchee 1
and 56
another 2
antijapanese 1
any 1
approaches 1
are 2
army 1
around 1
arrested 1
as 17
at 8
attack 1
attention 1
attribute 1
author 2
authorities 1
away 1
backing 1
balance 1
barely 1
base 1
be 10
because 3
become 3
becomes 5
been 2
before 1
begins 3
behind 1
beijing 1
beneficial 1
betrayals 1
bindings 1
book 1
born 1
bound 1
boy 1
bringing 1
broken 1
build 1
building 1
builds 1
bunch 1
business 2
but 5
by 5
called 3
came 1
can 1
captors 1
carry 2
cause 1
center 1
certainly 1
chairman 2
change 1
changed 1
changing 1
chaos 1
charge 2
childhood 1
china 4
chinese 1
ching 1
choice 1
chunquiao 1
circle 1
city 1
claims 1
clearly 1
close 1
closed 1
closely 1
closest 1
committed 1
common 1
communism 1
communist 4
communists 3
comrade 1
concepts 1
concubine 2
condition 1
confession 1
confessions 1
constantly 1
continues 1
control 2
controlled 1
country 1
countryside 2
cultural 2
current 2
daughter 1
death 4
decide 1
deep 1
definitive 1
dementia 1
denouncing 1
depressed 1
deserted 1
desired 1
desperate 1
desperately 1
despite 1
develop 2
did 1
died 2
disapproval 1
disastrous 1
disciple 1
discipline 1
discontented 1
disliked 1
divorce 1
do 2
document 1
does 2
doing 1
doll 1
down 2
dream 1
dropped 1
due 2
during 1
early 2
elements 1
emperor 1
emphasize 1
emphasizes 1
empire 1
ended 2
ends 1
enemies 2
enhanced 1
enormous 1
enough 2
entertaining 1
especially 1
etc 1
even 4
eventually 3
everywhere 1
exalt 1
except 1
executed 1
explanation 1
extract 2
eye 2
family 1
father 1
feeds 1
feel 1
feet 1
festivals 1
few 3
field 1
final 1
finally 5
first 1
follows 1
for 13
forbidden 1
force 1
forced 1
forms 1
forward 1
found 3
four 2
frequently 1
friends 1
from 10
full 1
funeral 1
gain 1
game 1
gang 2
gave 1
give 1
gives 1
glimmer 1
go 2
governor 1
grandparent 1
great 3
gripped 1
grows 2
guards 2
guofeng 1
had 5
handkerchiefs 1
hanging 1
hard 1
has 4
have 9
having 1
havoc 1
he 8
help 1
helps 1
her 31
heroine 1
hers 1
herself 4
him 8
his 18
history 1
home 1
hongwen 1
hospital 1
house 2
however 2
hua 1
husband 1
husbands 1
i 2
ideology 1
if 1
image 2
important 2
in 31
inability 1
incessant 1
increasingly 1
infection 1
investigators 1
invites 1
inviting 1
involved 2
is 27
it 2
jiang 5
joining 1
kicked 1
known 1
lan 2
large 1
last 1
later 1
launch 3
lead 1
leader 1
leading 1
leap 1
least 3
life 1
like 1
liked 1
lin 1
live 1
lonely 1
longer 1
lost 1
lot 2
lots 2
loved 1
lover 1
lovers 2
low 1
madame 11
mainland 1
majority 1
make 2
many 3
mao 36
married 2
marry 1
martyr 1
may 1
me 1
mediocre 1
meet 1
meeting 1
members 1
mental 1
mentally 1
met 1
might 1
military 1
min 1
months 1
more 1
mother 3
move 1
movement 1
movements 1
much 2
mutually 1
my 2
nah 1
name 3
named 1
nation 1
need 3
needs 2
network 1
never 1
new 1
no 1
nora 2
not 10
noticed 1
now 1
number 1
odds 1
of 37
off 1
offer 1
official 1
old 1
on 5
once 1
one 1
only 3
opera 1
opportunity 1
options 1
or 3
organizes 2
others 1
out 2
over 1
own 1
parallels 1
paranoia 2
paranoid 1
part 3
party 6
passion 2
patriotic 1
people 2
perceived 1
perhaps 1
permission 1
personality 1
picked 1
ping 2
play 2
playing 1
plays 4
pleasure 1
plotting 1
point 2
politics 1
poor 1
popular 1
possible 1
power 9
powerful 1
powerobsessed 1
preferred 1
pregnant 1
prison 2
producers 1
promoted 1
promoting 1
propagandist 1
protection 1
proved 1
province 2
provincial 1
psyche 1
public 3
put 1
puts 1
qing 2
quarters 1
quickly 1
rallies 1
ran 1
rather 1
ready 1
red 2
reduced 1
reemerge 1
rejections 1
relationship 2
released 1
remained 1
repentance 1
represents 1
restriction 1
retrospect 1
returns 1
reveal 1
revolution 3
revolutionary 5
role 1
romantic 1
rope 1
row 1
rule 1
runs 1
russia 1
saved 1
says 1
second 3
secretary 1
security 1
seemed 1
seems 3
sees 1
sends 1
sensed 1
separate 2
september 1
serious 1
servant 1
severe 1
shadows 1
shandong 1
shanghai 4
she 45
short 1
should 2
sick 1
side 1
signing 1
since 2
slowly 2
so 3
socks 1
some 4
soon 2
speaks 1
speech 1
spends 1
spent 1
statement 1
stay 1
still 1
strength 1
strings 1
strong 1
student 2
studentled 1
students 1
subversive 2
success 2
successor 2
suicide 1
supposed 1
switch 1
taken 1
tarnished 1
than 2
that 16
the 65
theater 1
their 1
then 1
these 2
they 3
things 2
this 2
those 1
thousands 1
throughout 1
time 4
to 53
too 1
totally 1
traveling 1
travels 1
trick 1
triumph 2
trusted 1
trusts 1
two 2
twofaced 1
under 1
understood 1
unity 1
unnerves 1
unstable 1
up 7
very 5
vice 1
virgins 1
vision 1
wang 1
want 1
wanted 1
wants 1
was 9
way 2
weeks 1
well 2
were 1
what 3
when 2
where 1
which 3
who 3
whole 1
whom 2
wields 1
wife 5
will 2
with 8
without 1
work 2
worked 1
worries 1
worry 1
would 3
wreaked 1
years 5
yenan 2
yiao 1
young 3
