21571664
/m/05h2w4x
/m/05h2w4x
David James Duncan
1983
{"/m/02xlf": "Fiction"}
a 4
age 1
an 1
and 5
as 1
bait 1
beautiful 1
begins 3
bickering 1
but 2
by 1
cabin 1
coast 1
coming 1
constant 1
course 1
discover 1
discovers 1
do 2
doing 2
eating 1
family 1
father 1
fish 1
fisherwoman 1
fishing 5
fly 1
follow 1
foothills 1
frustrated 1
gus 2
has 2
he 6
helps 1
him 2
his 2
humanity 1
ideal 1
in 5
inflicted 1
is 1
just 1
life 2
loves 2
mad 1
more 1
mother 1
moves 1
narrated 1
neighborhood 1
nothing 2
notice 1
of 4
oldest 1
on 1
once 1
oregon 1
orviston 1
over 1
people 1
portland 1
proper 1
range 1
relate 1
river 1
scars 1
schedule 1
sleeping 1
small 1
son 1
story 1
than 1
that 4
the 9
there 2
to 8
tweed 1
way 1
wearing 1
what 2
with 3
woods 1
wrestles 1
