11538353
/m/02rh6tw
/m/02rh6tw
Anchee Min
2004
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
3000 1
7 2
a 11
about 1
actions 1
addicted 1
after 1
along 1
also 1
amidst 1
an 4
and 18
antehai 2
appoints 1
approach 1
are 2
arrest 1
as 13
assigned 1
assistance 1
associates 1
attendant 1
attention 1
bannerman 1
be 1
because 1
becomes 5
befriends 1
beginning 1
begins 3
being 1
benevolence 1
better 1
between 3
birth 2
birthplace 1
blue 1
board 1
bottle 1
bribe 1
burial 2
but 1
by 1
called 1
capital 1
celebration 1
chance 1
chief 1
chih 2
china 3
chosen 1
city 3
coffin 1
combined 1
completing 1
concubines 1
consort 4
consorts 2
coregents 1
corrupt 1
coup 1
current 1
danger 1
death 3
decides 1
decree 1
defend 1
demanding 1
desperate 1
dies 1
disrupt 1
distant 1
does 1
dtat 1
due 1
during 1
duty 2
eligible 1
emperor 13
empire 1
empress 3
ends 1
enemies 1
establish 1
eunuch 2
eunuchs 1
exile 1
expected 1
family 2
father 2
favourite 2
feng 7
first 3
flees 1
follows 1
for 3
forbidden 3
forces 1
foreign 1
form 1
fourth 1
friendship 1
from 3
future 1
gain 2
general 1
gets 1
girl 1
gives 1
governor 1
granted 1
grants 1
great 1
greatest 1
grounds 1
guarantee 1
had 2
has 2
he 1
head 1
heir 2
heirs 1
her 14
herself 1
him 1
hint 1
his 8
history 1
holy 1
however 1
hsi 1
hsien 7
ill 1
imperial 5
in 10
increase 1
inner 1
interest 1
interference 1
intruding 1
invade 1
is 14
issues 1
kindness 1
knowing 1
known 1
knows 1
kung 1
lady 1
later 2
learns 1
left 1
life 5
looking 1
lose 1
lu 1
maids 1
male 2
manages 1
manchu 2
mates 1
mentally 1
months 1
more 3
mother 1
move 1
name 1
named 3
nationwide 1
new 3
nonetheless 1
not 2
novel 3
now 1
nuharoo 4
numerous 1
of 24
official 4
on 3
once 3
opium 1
orchid 19
order 1
organise 1
other 1
out 1
over 1
part 1
pass 1
peking 3
persuades 1
ping 1
plot 1
political 1
port 1
position 1
poverty 1
power 1
powers 1
pregnant 1
previously 1
prince 1
produce 1
pronounced 1
punish 1
rank 2
ranking 1
regents 1
relationship 1
remainder 1
restricted 1
retarded 1
right 1
risks 1
royal 1
safety 1
servant 1
she 6
shim 1
shun 5
siblings 1
situations 1
sleep 1
son 2
soon 1
stating 1
still 2
story 2
strength 1
su 5
successfully 1
summoned 1
tactic 1
tensions 1
that 6
the 48
them 1
there 1
they 2
this 2
time 1
title 2
to 18
total 1
trade 1
travel 1
tried 1
tung 2
two 3
tzu 2
unable 1
unaknowledged 1
uncle 1
virtue 1
was 2
weak 1
when 2
whilst 1
who 2
with 8
within 2
without 2
workings 1
works 1
worsen 1
wuhu 1
yehonala 1
yet 2
young 1
yung 1
