9167708
/m/027zz49
/m/027zz49
Gore Vidal
1999
a 6
adding 1
and 6
are 1
atmosphere 1
banister 1
be 1
beaten 1
behind 1
being 1
bishop 1
body 2
but 1
by 1
caterer 1
create 1
cunningham 1
cut 1
dci 1
death 1
describes 1
destined 1
detail 1
difficult 1
discover 1
discovery 1
down 1
explores 1
found 2
from 1
great 1
hanging 1
has 2
higher 1
his 5
in 3
intense 1
is 3
it 1
its 1
james 1
killings 2
london 1
man 1
manages 1
many 1
men 1
metcalfe 1
mind 1
murdered 1
must 1
novel 3
of 7
opens 1
out 1
pattern 1
philip 1
place 1
put 1
red 1
replaced 1
rest 1
rhodes 1
save 1
silver 2
spoon 2
starling 1
team 1
the 12
these 1
thoughts 1
to 5
tongue 2
turns 1
twists 1
underwear 1
wandsworth 1
when 1
which 2
who 3
with 2
