31894217
/m/0gvr870
/m/0gvr870
Lauren Kate
2011-06-14

14 1
17 1
2011 1
a 14
able 1
according 1
after 1
again 1
alleged 1
also 6
alter 1
always 2
an 3
and 25
angel 16
angels 4
annabelle 1
announcers 2
another 2
any 1
anything 1
appearing 1
are 6
arms 1
arriane 4
as 7
back 4
baptized 1
battle 2
be 10
because 3
beginning 1
being 2
best 1
between 2
bible 1
bill 1
blind 1
book 3
both 1
boyfriend 2
briefly 1
briel 1
bring 2
brothers 2
but 8
by 2
calmer 1
cam 7
cameron 1
can 1
captured 1
cast 1
catch 1
certain 1
change 1
characters 1
chased 1
chases 1
children 1
common 1
conflict 1
control 1
convince 1
could 1
coveting 1
curse 3
cycle 1
danger 1
daniel 18
darkness 1
dead 1
deciding 1
delivering 1
describes 1
did 1
dies 2
different 2
differently 1
discovered 1
do 1
does 1
during 1
each 1
elders 4
eldest 1
encounters 1
end 2
ended 1
ends 1
engulfed 1
events 1
evil 3
explained 1
fallen 17
famous 1
fell 1
few 1
final 1
find 2
first 2
fisher 1
flames 1
focused 1
follows 1
for 3
force 1
forever 1
four 1
friend 1
friends 3
from 9
full 1
future 3
gabbe 2
gabrielle 1
gargoyle 1
get 3
girl 1
givens 1
go 1
good 3
gotten 1
grigori 1
guide 1
had 1
hair 1
has 4
have 2
he 16
heaven 5
hell 1
help 3
helpful 1
helping 1
her 15
herself 1
hiding 1
higher 1
him 2
himself 2
his 4
history 1
hot 1
how 3
if 1
important 1
in 21
indeterminate 1
indicates 1
into 2
introduced 2
is 23
it 5
june 1
kill 1
kind 1
kissed 1
kissing 1
know 2
known 2
late 1
left 1
life 1
lifetime 1
lifetimes 1
little 2
lives 3
looking 1
love 1
loves 2
luce 25
lucifer 1
luciferbill 1
lucinda 2
lyrica 1
main 1
make 1
makes 2
margaret 1
mary 1
mean 1
meets 1
member 1
mentions 1
miles 2
minor 1
miss 1
misses 1
mission 1
molly 1
more 2
mortals 1
most 2
much 3
name 1
nephilim 4
never 1
nevertheless 1
next 1
not 6
novel 1
number 1
of 22
old 1
older 1
on 5
once 1
one 8
only 1
other 2
out 2
outcast 1
outcasts 1
over 2
particular 1
passion 1
past 4
permanently 1
person 1
pink 1
play 1
power 1
predominantly 1
present 2
price 2
proved 1
quite 1
rank 1
reaches 1
realize 2
reason 1
reasons 1
recover 1
refuse 1
reincarnated 2
released 1
religion 1
remaining 2
repeat 1
resident 1
result 2
return 1
reveal 1
revealed 1
revolt 1
rid 1
risks 1
roland 1
roles 1
satan 2
scale 1
secrets 2
see 1
senses 1
series 1
seventeenth 1
shadows 5
she 15
shelby 1
shoreline 1
side 5
sin 1
since 1
sister 1
some 1
something 1
soon 1
sophia 1
sparks 1
speak 1
start 1
step 1
stood 1
stories 1
succeed 1
survived 1
term 1
terms 1
than 2
that 9
the 52
their 3
them 2
they 10
think 1
this 7
through 2
time 3
timeline 1
to 32
too 1
torment 4
travel 2
travels 1
tremendous 1
tricks 1
tried 2
tries 2
try 6
trying 1
unclaimed 1
underworld 1
unusual 1
up 2
usually 1
very 2
vivina 1
want 1
wants 1
war 1
was 4
way 1
well 1
what 2
when 2
which 1
who 7
will 23
with 9
within 1
worst 1
would 1
year 2
zane 1
