3476920
/m/09fkyw
/m/09fkyw
Jules Verne
1896
5th 1
a 7
acquaintainces 1
adopt 1
adopted 2
africa 1
algeria 1
and 4
any 1
argels 1
arises 1
be 2
becomes 1
board 1
by 2
central 1
cette 1
character 2
chasseurs 1
clovis 10
come 1
continues 1
cousins 4
dafrique 1
dardentor 2
daughterinlaw 1
desirandelle 1
desire 1
drowning 2
either 1
elissane 1
end 1
enlisting 1
eventually 1
falls 1
family 1
familymdash 1
fight 1
finally 1
financial 1
find 2
fire 2
for 3
forcibly 1
fortunately 1
fortune 1
france 1
from 7
has 1
have 1
he 1
heirs 1
his 1
in 5
indeed 1
independence 1
industrialist 1
ironically 1
is 6
it 2
jean 4
key 1
knows 1
law 1
left 1
legally 1
life 4
lives 1
look 1
lornans 1
louise 3
love 1
man 1
marcel 6
marries 1
mdashan 1
meet 1
no 2
novel 3
of 7
on 1
one 1
opportunity 1
or 1
oran 2
out 1
person 1
plan 1
prospective 1
purpose 1
pursuit 1
regiment 1
required 1
save 3
saved 2
saves 2
she 1
ship 1
so 1
story 1
taconnat 1
tells 1
that 3
the 18
their 1
them 1
they 2
to 12
travel 1
travelling 1
two 1
unmarried 1
unpleasant 1
way 1
wealthy 1
wellversed 1
were 1
while 1
who 4
whose 1
will 2
with 3
would 1
yet 1
