30024889
/m/0fqsbmp
/m/0fqsbmp
Jon Smith


a 5
about 1
alien 1
all 1
also 1
and 4
answers 1
any 2
as 2
at 2
audience 1
be 1
became 1
because 1
becoming 1
been 2
bloke 1
blokes 1
book 2
books 2
can 1
changes 1
child 1
comical 1
coming 1
could 1
doesnt 1
downs 1
educate 1
emotional 1
every 1
expect 1
explores 1
father 2
feel 1
for 2
guaranteed 1
guide 2
has 2
he 5
him 1
himself 1
his 2
humorous 1
in 2
informed 1
intended 1
involve 2
involved 1
is 3
it 1
jon 2
laugh 1
life 1
lisa 1
look 2
looking 1
loud 1
making 1
man 2
many 1
months 1
need 1
nothing 1
of 5
off 1
or 1
out 2
over 1
partner 3
people 2
physical 1
pregnancy 5
pregnant 2
put 1
questions 1
reading 1
realized 1
rearing 1
reason 1
relate 1
relationship 1
result 1
see 1
sensible 1
should 1
smith 1
something 1
stages 1
still 1
takes 2
that 7
the 12
their 1
then 1
there 3
these 1
this 1
to 7
together 1
tone 1
two 3
ups 1
warts 1
was 3
when 1
while 1
will 1
yet 3
you 3
your 1
