441425
/m/028y3p
/m/028y3p
Charles Dickens
1853
{"/m/05hgj": "Novel"}
20 1
a 18
abandoned 2
accepts 1
acknowledge 1
active 1
ada 10
affects 1
affidavit 1
after 3
again 1
agreed 1
all 2
allan 1
almost 1
alone 1
along 1
aloud 1
already 1
also 2
an 3
and 49
another 2
any 1
apologizes 1
apologizing 1
are 3
arrests 1
as 5
asks 1
at 10
attending 1
aunt 1
back 1
badger 1
barbary 3
battle 1
baynham 1
be 6
beauty 1
becomes 2
becoming 1
before 2
befriends 1
believing 1
beneficiaries 1
beneficiary 2
beseeches 1
betrayed 1
better 1
binds 1
bleak 1
book 1
bored 1
both 1
boy 2
breaking 1
broken 1
brother 1
bucket 4
bulk 1
but 6
by 6
caddy 1
calls 1
cancels 1
captain 2
carrying 1
carstone 1
catastrophic 1
cemetery 1
chance 1
chancery 2
characters 1
charge 1
charley 1
chesney 3
child 5
choose 1
chosen 1
church 1
clare 1
cleared 1
client 2
closemouthed 1
cold 1
collapses 1
commission 1
communicate 1
companion 1
company 1
conclusion 1
conduct 1
conflict 1
confront 1
confrontation 1
connection 1
constantly 1
consumed 1
continues 1
conversation 1
convinced 1
copy 1
copyist 1
costs 1
country 1
cousins 1
crafty 1
curse 1
daughter 1
daughters 1
days 1
dead 2
deal 1
death 2
dedlock 20
defiance 1
desperate 1
despite 1
determines 1
detests 1
developments 1
devotedly 1
died 1
dies 2
difficult 1
discover 2
discovering 1
discovers 1
disease 1
disfigurement 1
disfigures 1
disguised 1
dismisses 1
diverse 1
doesnt 2
dr 4
dying 1
early 1
engaged 1
engagement 1
england 1
enlisting 1
estate 3
esther 22
even 2
experiences 1
fact 1
failed 1
faints 1
faith 1
fall 1
family 2
fashionable 1
favour 1
feeling 1
find 3
finds 1
first 4
flees 1
flight 1
focuses 1
for 6
forgives 1
former 1
found 1
frame 1
french 1
from 2
further 2
future 1
gaining 1
george 2
gives 1
go 1
godmother 1
got 1
grave 1
guardian 5
guilt 1
had 2
handwriting 1
happy 2
hard 1
has 11
have 4
having 2
hawdon 2
he 10
health 2
help 1
her 27
him 7
his 20
home 1
homeless 1
honoria 1
horror 1
hortense 5
house 3
identify 1
ignored 1
in 21
inconstant 1
influence 1
inspector 1
instils 1
instruction 1
interests 1
intricate 1
investigated 2
investigates 1
is 18
issue 1
it 1
jarndyce 24
jellyby 1
jo 2
john 6
junior 1
kenge 1
kills 1
know 2
knowledge 1
known 2
lady 19
last 1
later 3
lawsuit 1
lawyer 4
learn 1
leaves 1
leaving 2
leicester 6
life 1
listening 1
litigant 1
litigation 1
live 3
longer 1
lost 1
love 1
lover 2
mademoiselle 1
maid 3
main 1
manages 1
many 1
marriage 1
married 2
marry 2
match 1
matter 1
matters 1
mdash 1
meanwhile 3
medical 1
meets 2
mentions 1
might 2
minor 1
miss 3
money 1
more 1
mother 2
moves 1
mr 4
much 1
murder 2
must 2
named 1
names 1
neither 1
nemo 3
never 2
new 1
newlyqualified 1
news 1
night 1
no 3
not 1
note 1
notes 1
novel 2
now 1
nursed 1
odious 1
of 27
on 5
one 3
only 4
oppose 1
other 1
out 2
own 1
past 1
pauper 1
pays 1
periphery 1
permanently 1
person 2
plot 1
point 1
poor 1
possibly 1
previous 1
prince 1
process 1
profession 2
professions 1
prospect 1
prospective 1
pushing 1
put 1
quarrelled 1
quiet 1
raised 1
read 1
reading 1
realizes 1
recently 1
recognizes 2
recovers 1
rediscovery 1
repeatedly 1
resolution 2
resolve 1
resources 1
return 1
returns 1
reunion 1
reunited 1
revokes 1
richard 15
romance 1
rouncewell 2
ruined 1
school 1
search 1
secret 1
secretly 1
seek 1
seeks 1
seem 1
sense 1
several 2
she 9
shipwreck 1
should 1
shrewd 1
sight 1
sir 6
sister 1
six 1
smallpox 1
so 1
solicitor 1
some 1
soon 2
spartan 1
stages 1
stipulates 1
streetsweeper 1
stricken 1
stroke 1
subplots 2
summerson 1
supposedly 1
survived 1
survives 1
suspects 1
take 2
takes 2
talks 1
tells 1
than 1
that 12
the 49
their 5
them 2
there 2
these 1
they 6
thinking 1
thinks 1
this 4
though 4
threaten 1
throughout 1
tie 1
ties 1
time 1
to 39
traces 1
tries 1
tuberculosis 1
tulkinghorn 8
turn 1
turns 1
turveydrop 1
tutor 1
two 2
undefined 1
under 3
unfortunately 1
unidentified 1
unknown 1
until 1
up 1
use 1
vholes 1
waits 1
wanders 1
wants 1
wards 1
wasting 1
watches 1
way 2
weather 1
what 2
when 4
which 4
while 1
who 8
whom 1
wife 2
will 4
wills 4
with 12
wold 3
woman 1
woodcourt 5
world 1
worthlessness 1
years 2
yorkshire 1
