2321966
/m/073pjf
/m/073pjf
Kobo Abe

{"/m/06n90": "Science Fiction", "/m/0pym5": "Absurdist fiction"}
a 8
abusive 1
after 1
an 3
and 3
as 2
assignment 1
at 1
battling 1
be 1
bed 1
begins 1
beneath 1
bottle 1
catheter 1
child 1
chiropractor 1
city 1
clinic 1
demons 1
discover 1
enters 1
euthanist 1
explanations 1
feels 1
ferrymen 1
for 1
hair 1
happening 1
harrowing 1
he 6
health 1
hell 1
here 1
him 1
his 6
hooked 1
hospital 2
hotspring 1
in 2
indicate 1
is 2
itching 1
iv 1
job 1
journey 1
kangaroo 1
karate 1
latest 1
leg 1
lie 1
local 1
loss 1
medical 1
meets 1
morning 2
much 1
narrator 2
next 1
not 1
notebook 1
nurses 1
of 2
on 3
one 1
penile 1
people 1
physician 1
pondering 1
prescribes 1
radishes 1
runs 1
school 1
seeks 2
seems 2
seen 1
shins 1
sideline 1
simple 1
small 1
so 1
sprouting 1
strange 1
streets 1
stress 1
that 3
the 7
therapy 1
through 1
to 6
underworld 1
uninspiring 1
unusual 1
valley 1
vampire 1
waiflike 1
wakes 1
what 1
where 1
while 1
who 1
works 1
