6113208
/m/0fqrbq
/m/0fqrbq
Laura Albert
2001-06-09
23 1
a 5
abandoned 1
above 1
abused 1
act 1
addict 1
adopt 1
advances 1
after 4
age 1
all 1
alone 2
and 8
as 5
at 1
atlantic 1
aware 1
away 2
baby 1
bed 1
being 1
belted 1
biological 1
boy 1
but 1
by 3
chapter 1
chapters 1
christian 1
city 1
clearly 1
clients 1
collection 1
custody 2
days 1
deceitful 1
decision 1
determined 1
doll 1
dressing 1
driver 2
drug 1
dumps 1
each 1
early 1
established 1
explaining 1
figure 1
fiveyearold 1
focus 1
fondles 1
for 2
forced 1
forces 1
foster 1
from 4
gained 1
gender 1
get 1
gets 2
girl 1
goes 1
grandparents 1
grow 1
hair 1
has 1
have 1
he 6
heart 1
her 4
him 5
his 14
home 2
honeymoon 1
hospital 1
how 1
in 3
ineffectual 1
influential 1
initially 1
interlinked 1
into 1
is 9
jackson 2
jeremiah 10
lack 1
later 1
latest 1
left 1
legally 1
life 2
live 2
lizard 1
lost 1
lot 1
luther 1
made 1
makes 1
man 2
marries 1
men 1
money 1
mother 7
moves 1
never 1
novel 1
occasion 1
of 7
offspring 1
older 1
on 3
one 1
only 1
outside 1
over 1
parents 2
penis 1
perspective 1
power 1
prostitute 1
psychotherapy 1
rapes 1
rebuff 1
recently 1
repressive 1
returns 1
roles 1
sarah 7
satisfaction 1
scalding 1
seduces 1
seduction 1
sexual 1
she 1
shoplift 1
shoulderlength 1
siblings 1
six 1
sodomises 1
some 1
start 1
starts 1
take 1
taken 1
takes 1
techniques 1
that 1
the 9
their 1
then 3
thenboyfriend 1
there 1
things 1
though 1
to 8
told 1
tries 1
truck 2
turned 1
turns 1
two 1
unattended 1
unexpectedly 1
up 2
various 1
viciously 1
water 1
well 1
wetting 1
when 1
while 1
who 1
with 5
years 1
