6147347
/m/0fsn42
/m/0fsn42
Tom Stoppard
1977
a 13
ability 1
about 2
accosted 1
action 1
actions 2
advantage 1
against 1
agreed 1
agrees 1
alarm 1
all 1
allow 1
allusion 1
although 1
amnesty 1
an 7
and 18
anderson 25
anger 1
angering 1
another 2
are 3
arrest 1
arrested 1
as 7
asks 1
at 4
back 1
backdrop 1
bag 1
basis 1
be 3
before 2
began 1
begins 1
being 3
between 3
borrow 1
breach 1
breezes 1
broadbent 4
broken 1
but 2
by 12
cambridge 1
can 2
catastrophe 2
caught 1
central 1
chairman 1
chetwyn 5
claims 1
colloquium 5
comes 2
coming 1
commit 2
commits 1
communist 1
community 1
complicated 1
concedes 1
concludes 1
conflicts 1
contract 1
contradicted 1
conversation 4
country 2
crisp 2
critic 1
criticism 2
criticisms 1
crowd 1
cup 1
currency 1
czechoslovakia 4
czechoslovakian 3
damaging 1
day 2
decision 1
delivers 1
departs 1
detached 1
detained 1
different 1
dinner 2
discuss 1
discussion 1
dissident 1
do 1
don 1
door 1
drop 1
drunken 1
during 1
each 1
earlier 1
early 1
emotional 1
en 1
encounter 1
english 3
entry 1
essay 1
established 1
ethical 1
ethics 2
evening 3
events 2
eventually 2
exhausted 1
experiences 1
explains 1
false 1
fate 1
feet 1
final 1
fire 1
flat 3
football 6
footballer 2
footballers 4
for 5
forces 1
foreign 1
former 1
foul 3
found 2
from 3
furious 1
going 1
good 1
government 2
grayson 1
grounds 1
had 2
happening 1
he 11
headed 1
heading 1
help 1
her 1
here 2
him 4
himself 1
his 8
hollar 12
home 1
hotel 4
however 2
idea 1
ideal 1
implied 1
in 20
inadvertently 1
including 1
indicated 1
individual 1
individuals 1
interest 1
international 1
interrupts 1
introduced 1
introduces 1
introducing 1
is 18
it 4
joined 1
journalists 1
just 1
justified 1
justify 1
knocking 1
lack 1
late 1
lead 1
leading 1
learned 1
leave 1
leaves 1
leaving 1
lecture 1
lecturing 1
letters 1
like 1
limitations 1
linguistic 2
listen 1
lobby 1
luggage 1
manners 1
match 8
material 1
mckendrick 14
meticulously 1
mistakes 1
model 1
morning 1
motive 2
mrs 1
next 4
not 1
nothing 1
now 1
objects 1
observation 1
of 31
officers 1
officials 1
on 8
one 2
opening 1
order 1
other 1
out 3
outspoken 1
overhears 1
own 2
paper 1
parallels 1
pavel 2
penultimate 1
permit 1
permitted 1
philosopher 2
philosophers 1
philosophical 3
philosophy 5
placing 1
plane 1
planting 1
play 4
plight 1
point 1
police 4
politics 1
potentially 1
prague 2
present 1
prevent 1
professional 3
professor 3
protagonist 1
providing 1
punch 1
qualifying 1
questions 1
radio 1
rather 1
read 1
reluctant 1
reports 1
residence 1
return 1
returns 1
revealed 2
reveals 1
rights 2
risk 1
role 1
room 1
route 1
run 1
sacha 1
saying 1
scene 5
searched 1
sees 1
several 1
should 1
similar 1
situation 1
smuggle 1
smuggling 2
so 1
son 1
soon 1
speaks 1
spends 1
spite 1
spots 1
staging 1
state 1
stone 1
stops 1
street 1
student 1
surrounding 1
talk 2
than 1
that 8
the 81
their 3
themes 1
then 2
theory 2
there 2
thesis 6
think 1
thinking 1
this 2
through 1
to 35
took 1
towards 1
travel 1
two 5
typewriter 1
ulterior 2
unconscious 1
unimpressed 1
upon 2
very 1
vows 1
was 2
watch 1
way 2
weekend 1
well 2
what 1
where 2
whereabouts 1
which 5
whilst 3
who 3
with 4
world 1
wrote 1
young 1
