28421364
/m/0crhpx4
/m/0crhpx4
Robert Asprin
1990-07
a 10
again 2
alien 1
an 3
and 7
antics 1
army 3
as 2
attention 1
attract 1
awarded 1
because 1
begins 1
between 1
book 2
business 2
but 2
by 1
ceremony 1
cohesive 1
come 1
command 1
commander 1
company 4
competition 2
complete 1
contract 2
conviction 1
convinces 1
cooperation 1
courtmartial 1
courtmartialed 1
create 1
creatures 1
deal 1
duty 2
edge 1
elite 1
empire 1
encounters 1
enrages 1
episode 1
evades 1
exchange 1
explorers 1
final 1
for 7
from 2
full 1
get 1
given 1
goes 1
governor 1
haskin 2
he 2
his 7
honorary 1
impressive 1
in 3
innocence 1
instincts 1
interplanetary 1
is 3
knack 1
leave 1
legion 1
legionnaires 3
leverages 1
lizardlike 1
local 1
managing 1
mining 1
misfits 1
money 1
most 1
multimillionaire 1
negotiates 1
new 1
of 13
omega 1
on 3
ordering 1
own 1
part 1
people 1
personal 1
phule 6
planet 2
press 1
punishment 1
quickly 2
regular 3
reverting 1
sell 1
sends 1
settled 1
settlement 1
show 2
signing 1
some 2
space 3
station 1
strafing 1
superiors 1
support 1
swampland 1
take 1
teamwork 1
technologies 1
the 21
their 2
this 1
through 1
ties 1
to 9
together 1
treaty 1
troops 2
unit 2
up 1
very 1
when 1
willard 1
zenobian 1
