25260567
/m/09g6gw5
/m/09g6gw5
Leslie Barringer
1935
118 1
a 9
acquires 1
aided 1
an 1
and 4
apprenticed 1
area 1
beginning 1
bertrand 1
better 1
book 1
both 1
brawl 1
buried 1
by 2
century 1
consigned 1
de 1
distrust 1
enemy 1
england 1
eventually 1
facility 1
fellow 1
fitzromund 1
for 1
fortuitously 1
glib 1
hampered 1
hand 1
he 6
heart 1
his 7
identity 1
in 6
is 4
jews 1
john 1
kay 2
kills 1
knowledge 1
later 1
location 1
loses 2
lot 1
massacre 1
men 1
montfort 1
new 2
of 4
orphan 1
outlawry 1
own 1
participant 1
personal 1
position 1
preferment 1
prince 1
protagonist 1
prudent 1
reestablishing 1
reluctant 1
respectability 1
return 1
right 1
rise 1
scrivener 1
seeking 1
set 1
soft 1
status 1
succeeds 1
tavern 1
temper 1
the 6
through 1
to 4
trades 1
treasure 1
twelfth 1
under 1
when 1
which 1
whose 2
with 2
words 1
york 2
