20013780
/m/04ycm12
/m/04ycm12
William Attaway
1941
{"/m/05hgj": "Novel"}
11 1
14 1
a 20
about 2
accident 2
action 1
active 1
african 1
after 5
again 3
agrees 1
alone 1
along 1
american 1
and 22
anger 1
animal 1
anna 10
another 1
are 6
arrive 1
as 2
at 3
atmosphere 1
attacks 1
authority 1
away 3
back 1
be 1
beats 1
becomes 3
been 2
before 1
belt 1
big 18
bill 1
blinds 1
blows 1
book 1
boss 4
brassstudded 1
breaks 1
brings 1
brothel 1
brothers 6
bunkhouse 1
by 8
catastrophic 1
cheer 1
chinatown 8
chronicles 1
collect 1
combat 1
come 2
comment 1
conditions 1
convince 2
culminates 1
day 1
death 2
decides 2
departed 1
deputies 1
deputized 1
deputy 1
dire 1
dog 1
dogs 2
dragged 1
earlier 1
ends 1
evening 2
feeling 1
fight 2
find 1
finds 1
fit 1
foreign 1
fresh 1
from 3
gains 1
get 1
give 2
gives 1
go 1
goes 2
group 1
growing 1
had 1
halfbrothers 1
handle 1
has 1
hattie 1
having 1
he 6
head 3
headquarters 1
help 1
her 2
him 7
his 5
hit 2
home 1
horseback 1
hostile 1
house 1
if 1
impressed 1
in 11
increasingly 1
infatuated 1
inhumane 1
into 1
is 9
it 1
johnston 1
johnstons 1
join 1
kentucky 1
killed 2
kills 2
kisses 1
labor 1
land 1
landowner 1
later 1
leads 1
leave 1
leaving 1
letter 3
lifetime 1
like 1
likely 1
live 1
lives 1
madam 1
makes 1
mama 1
mamas 1
mamma 1
man 2
many 1
mat 18
mats 1
meet 1
melody 12
member 1
members 1
men 1
mexican 1
midst 1
mill 6
more 1
moss 4
mother 1
mr 2
mrs 1
much 1
mule 5
named 1
near 1
new 2
niece 1
night 2
north 3
novel 2
now 1
of 11
off 1
on 4
once 3
one 2
only 2
opens 1
oppression 1
other 1
out 1
over 1
overcomes 1
overhears 1
overpowered 1
owner 1
part 4
pennsylvania 1
pickaxe 1
pittsburgh 2
plan 1
possibly 1
prevent 1
promised 1
promising 1
prostitutes 1
punching 1
racist 1
rage 2
raid 1
rebuild 1
recruited 1
refuse 1
refuses 1
repeatedly 1
resent 1
responds 1
returns 2
riding 3
ring 1
riot 1
run 1
running 1
rushes 2
said 1
sets 1
sex 1
shack 2
sharecropping 1
she 2
sheriff 2
shipped 1
shortest 1
slavic 1
small 1
snatch 1
some 1
starve 1
steel 1
straits 1
stranger 1
strength 1
struggle 1
sugar 3
take 2
takes 1
taking 1
tell 1
tells 1
tendollar 1
that 11
the 54
their 5
them 4
there 3
they 4
this 2
three 1
time 1
to 28
together 1
told 1
town 4
tragedy 1
train 3
tries 2
two 3
unable 1
union 5
up 4
very 2
visit 1
visited 1
what 1
when 5
where 3
which 2
whiskey 1
white 1
who 3
whom 1
wife 1
will 1
with 10
without 1
work 3
workers 3
working 1
would 1
wrestle 1
year 1
young 1
