492415
/m/02gz_l
/m/02gz_l
Jacqueline Susann
1966
{"/m/01qxvh": "Romance novel"}
145 1
15 1
a 17
able 1
abortion 1
about 3
actress 2
addicted 1
administrative 1
affair 1
affairs 1
affection 1
after 4
agency 2
agnes 1
aids 1
alcohol 1
allen 2
an 5
and 31
angrily 1
angry 1
anne 8
annes 1
another 1
anyone 1
anything 2
appears 1
approaches 2
approval 1
arranges 1
arrogant 1
art 1
as 7
at 2
attempts 1
attention 1
attraction 1
avoid 1
awake 1
barbiturates 2
be 2
beauty 2
because 1
become 1
becomes 6
becoming 1
before 1
begins 4
behavior 3
being 1
believing 1
bellamy 1
black 1
body 3
bosom 1
box 1
brain 1
breaks 1
breast 1
breasts 1
bring 1
broadway 2
building 1
burke 2
but 4
by 1
can 2
cancer 1
cant 1
career 2
careers 1
caused 1
causes 1
changed 1
child 2
childish 1
children 5
chooses 1
chorus 1
city 1
class 1
combines 1
commits 1
committed 1
company 1
condition 1
congenital 1
consistently 1
continues 1
cooper 1
cope 1
cosmetics 1
create 1
culminate 1
dating 1
daughter 1
day 1
dearest 1
debut 1
decides 1
decline 1
demand 1
demanding 1
demands 1
dementia 1
dependence 1
described 1
desperate 1
detail 1
dexedrine 1
diagnosed 1
difficult 1
discovering 1
discovers 1
dolls 3
due 2
during 3
earn 1
earns 1
effect 1
effects 1
elope 1
emasculated 1
embark 1
employment 1
ends 1
enhance 1
enough 1
entertainment 1
enthuses 1
erratic 1
especially 1
ethel 1
europe 1
eventual 1
eventually 1
explains 1
face 1
faced 1
failed 1
falls 2
fame 1
famous 1
fast 1
films 1
final 1
finds 1
for 13
french 1
friends 2
from 3
gain 1
gained 1
gillian 1
gillmore 2
grueling 1
had 2
halfsister 1
hand 1
handle 1
handlers 1
happening 1
has 3
have 5
having 1
he 5
heights 1
henry 1
her 28
high 1
him 7
his 4
hit 3
hollywood 4
hopes 1
hospital 1
however 1
in 19
independentminded 1
infidelity 2
inherit 1
insanity 1
insomniac 1
into 1
introduces 1
involved 1
is 15
isnt 1
it 1
jennifer 9
job 2
keep 2
kevin 3
know 1
lavish 1
lawrenceville 1
lawyer 1
learning 1
leaves 1
life 1
likely 1
limited 1
list 1
living 1
long 1
lose 2
loses 1
love 4
loves 1
lyon 9
lyons 1
made 1
make 1
man 1
manager 1
many 1
marriage 1
marriages 1
married 1
massachusetts 1
mastectomy 2
meets 2
middleaged 1
millionaire 1
miriam 2
mistakes 1
moderate 1
money 2
moves 2
movies 2
musical 1
musicals 1
must 1
name 1
nearly 1
neely 4
nembutal 1
never 2
new 1
next 1
nightclub 1
north 1
not 3
numerous 1
of 11
off 1
office 1
often 1
ohara 1
on 5
oneill 1
only 3
out 1
over 1
overprotective 1
owner 1
partly 1
perfection 1
perform 1
persuades 1
pictures 1
pills 4
plans 1
play 1
polar 1
pregnant 1
preparing 1
president 1
psychiatric 1
pursue 1
puzzles 1
quickly 2
raise 1
ready 2
realizes 1
recommends 1
refuses 1
regarded 2
relationship 5
release 1
remains 1
representing 1
republican 1
reputation 1
responds 1
returns 4
revitalize 1
role 1
romantically 1
ruse 1
say 1
scene 1
seconal 1
seems 1
seizures 1
selfdestruction 1
senator 2
serious 1
settle 1
she 31
showgirl 1
shown 1
shows 1
sickness 1
singer 1
six 1
sky 3
sleep 3
smoking 1
speaks 1
spiral 1
spoiled 1
stand 1
star 1
states 1
stay 1
stays 1
stress 1
strong 1
studio 1
success 1
suicide 2
superstar 1
sustain 1
take 1
talent 2
tax 1
telling 1
tells 2
that 10
the 43
their 1
them 1
they 1
think 1
this 2
though 2
three 1
time 2
titular 1
to 40
told 1
tony 2
tonys 1
too 1
total 1
town 1
travels 1
trip 1
twenty 1
two 2
unable 1
understandable 1
unglamorous 1
uninterested 1
united 1
upon 3
uppers 1
us 1
use 1
uses 1
vaudeville 1
vicious 1
was 1
way 1
wed 1
wedding 1
weeks 1
weight 2
well 1
welles 1
when 4
where 1
while 1
who 3
whom 1
why 1
will 3
wish 1
with 17
without 1
women 2
work 2
works 1
world 1
year 1
years 4
york 1
