10862659
/m/02qsbx5
/m/02qsbx5
Meg Cabot
2005-04
{"/m/03mfnf": "Young adult literature"}
3 1
a 14
about 1
after 2
again 1
against 1
agree 1
algae 1
almost 1
also 1
an 1
and 27
another 1
anyone 1
anything 1
appearance 1
archenemy 1
are 2
argument 1
arrival 1
arrive 1
as 4
at 3
baba 1
back 2
balance 1
bathroom 1
bay 1
be 4
because 7
become 1
before 1
begin 1
begins 4
being 1
better 1
big 1
blow 1
book 2
books 1
boris 2
both 1
boyfriend 1
boys 1
break 1
but 1
by 1
cabot 1
campaign 2
can 2
cast 1
changes 1
clock 1
closest 1
college 2
completely 1
condoms 1
confesses 1
convincing 1
council 1
countries 1
day 3
days 1
debate 1
debates 1
delighted 1
destroying 1
discover 1
discovers 1
discovery 1
distract 1
do 2
does 1
doing 1
dont 1
doo 1
dorm 1
down 1
dramatic 1
dumped 1
dumping 1
early 1
eat 1
effort 1
ends 2
english 3
enough 2
eu 1
every 2
everything 1
expect 1
feel 1
feels 1
few 1
first 2
following 1
for 7
forced 1
forever 1
found 1
freaks 1
freshman 1
friends 3
from 1
game 1
genovia 2
gets 1
girlfriends 1
go 2
goes 1
going 3
good 1
gotten 1
grandmere 2
great 1
gupta 1
had 1
hakim 1
handing 1
has 4
have 1
he 3
hearing 1
hectic 1
her 14
herself 4
him 2
his 2
hit 1
hot 1
hotel 1
how 1
if 1
immediately 1
in 8
interviews 1
into 2
invited 1
is 17
isnt 1
it 3
jet 1
just 1
kicked 1
killer 1
knows 1
lana 4
leaves 1
lesson 1
lilly 10
lily 1
line 1
lingsu 1
look 1
lost 1
love 1
lunchtime 1
majority 1
make 1
making 1
martinez 1
mature 1
media 1
meets 1
meg 1
mia 26
michael 8
monaco 1
monday 2
months 1
more 1
moscovitz 1
most 1
ms 1
much 1
name 2
natural 1
new 2
nice 1
nominates 1
not 5
notes 1
now 1
o 1
of 9
on 3
once 3
one 3
only 1
organize 1
organizing 1
out 5
over 1
pak 1
pass 1
pelkowski 1
pens 1
play 1
plaza 1
pointless 1
popular 1
positive 1
posters 1
president 7
principal 1
promote 2
provides 1
puts 1
putting 1
race 1
ready 3
realizes 1
receives 1
relationship 2
repeated 1
restaurant 1
room 1
roommate 1
run 1
running 1
saturday 1
saying 1
says 1
schedule 1
schedules 1
school 7
seas 1
see 1
seem 1
seems 1
shameeka 1
she 11
shocked 2
shows 1
sleep 1
sleepover 2
snails 2
so 2
soccer 1
some 1
sophomore 1
stayed 1
step 1
story 2
stressful 1
strong 1
student 1
studentcouncil 1
successful 1
successor 1
suffered 1
summer 1
talk 2
taylor 1
teacher 2
team 1
televised 2
tells 2
than 1
that 11
the 24
their 3
them 1
theme 1
they 5
thing 1
think 2
thinking 1
this 6
three 1
tina 3
to 27
understands 1
unfortunately 1
until 2
up 5
vicepresident 1
violin 1
visits 1
vote 1
votes 1
wait 1
want 1
wants 2
was 1
week 1
weinberger 1
well 1
when 2
where 3
which 2
who 2
will 2
with 6
woken 1
wong 1
year 3
