9335300
/m/028504c
/m/028504c
Scott Westerfeld
2007-08-02
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/04rlf": "Music"}
a 22
ability 2
able 2
about 1
achieve 2
actually 1
advanced 1
again 1
against 1
agree 1
alana 3
all 4
allowing 1
almost 1
also 1
although 4
always 1
an 1
ancient 1
and 27
angels 1
another 3
any 1
apocalyptic 1
are 7
around 2
artificial 1
as 6
astor 3
at 4
attack 1
attacks 1
attempt 1
away 1
back 1
band 22
bands 1
barely 1
bass 2
be 6
because 3
become 1
becomes 2
been 2
before 2
begin 2
beginning 1
begins 5
being 1
believes 3
beloved 1
black 1
boyfriend 1
break 2
breaking 1
bring 1
broke 1
broken 1
but 8
by 3
cal 1
called 2
can 2
carrier 1
carriers 1
cause 1
causes 1
causing 3
centuries 1
chance 1
changes 1
character 1
characters 1
city 2
civilization 1
clear 3
club 1
colored 1
comes 2
completely 1
condition 2
consent 1
considers 1
contract 1
contracted 1
control 1
convinces 1
country 1
crazy 1
creating 1
date 1
days 1
deal 1
defeat 2
defenders 1
devised 1
direction 1
discovered 2
doctors 1
does 1
done 1
down 2
drawn 1
dreamed 1
dreams 2
drummer 1
due 1
earth 1
effect 1
effects 1
employed 1
end 1
ended 1
even 1
eventually 2
fact 1
fame 2
fate 1
fearing 1
featured 1
fight 3
finally 2
fingers 1
first 2
five 1
focuses 1
for 11
form 2
forming 1
freezes 1
friend 1
friends 2
fright 1
from 5
gain 1
garlic 1
get 1
gets 1
giant 2
gig 1
girl 1
go 1
goes 1
going 1
gotten 1
ground 1
grows 1
guitar 2
guitarist 1
guitars 1
gushing 1
had 1
hallucinations 1
has 5
hate 2
have 8
having 1
he 10
head 1
help 2
her 6
heroes 1
him 1
hired 1
his 7
however 2
image 1
in 17
included 1
including 1
inexplicably 1
infected 3
initially 1
instead 1
instinctively 1
instincts 1
instrument 1
into 1
involves 1
is 9
it 7
its 2
itself 1
jersey 3
join 2
joins 1
jump 1
keep 1
keeps 1
kill 1
killing 1
knack 1
known 1
lab 1
lace 1
larger 1
last 1
lead 3
learning 1
leaving 1
letting 1
lights 1
likely 1
longterm 1
lost 1
loved 1
lower 1
lurks 1
luz 2
mad 1
made 1
madness 1
making 1
man 1
managed 1
many 1
mayor 1
means 2
meanwhile 1
meets 1
member 3
members 3
mentions 1
methods 1
michaels 3
midst 1
minds 1
minerva 12
missing 1
modern 1
money 1
more 3
most 1
moz 15
music 4
mysterious 2
name 2
narrative 1
natural 1
nearby 1
needed 1
never 2
new 14
newly 1
night 2
nightmayor 1
none 1
normally 1
not 4
numerous 1
occurrences 1
odd 1
of 25
off 1
often 1
old 1
on 4
once 1
one 3
originally 1
others 1
otherwise 1
out 1
over 2
overcomes 1
own 1
parasite 8
parents 1
parts 1
passed 1
pays 1
pearl 9
peeps 3
people 4
perfect 2
perfectly 1
performer 1
place 1
plan 1
planned 2
play 1
playing 3
plays 2
politician 1
position 1
previous 2
previously 1
process 1
quickly 1
quite 3
raise 1
ray 3
real 1
realistic 1
realized 1
rebuilding 1
receives 2
recording 1
recovered 1
recruit 1
recruits 1
regardless 1
remember 1
resembling 1
rest 2
result 1
resurfacing 1
reveal 1
revealed 1
rosemary 1
rounds 1
running 1
runs 1
same 1
save 1
screaming 1
searching 1
secret 2
see 3
seemingly 1
seems 1
sewers 1
shakes 1
she 6
shrink 2
sing 1
singer 2
singing 1
six 1
skilled 1
smashes 1
some 1
something 1
song 2
soon 5
sorts 1
sound 1
stage 1
starts 1
still 2
strange 1
street 1
struggling 1
subway 1
such 1
suited 1
surface 1
synesthesia 1
take 2
taking 1
talent 1
taught 1
teams 1
terms 1
that 8
the 79
their 10
them 4
themselves 1
these 1
they 10
things 1
this 5
through 1
throws 1
thus 2
time 1
times 2
to 46
together 2
tour 1
traditional 1
travelling 1
treat 1
treatment 1
tunnels 1
turn 1
turned 1
two 1
type 2
under 1
unhappy 1
unique 1
unknown 1
until 1
up 9
use 1
used 2
uses 1
visit 1
was 3
watch 4
water 1
way 2
were 1
when 3
wherever 1
which 2
who 5
whole 1
window 1
with 8
without 2
woman 2
worm 6
worms 2
worst 1
years 1
york 2
zahler 4
