23267733
/m/065zqz9
/m/065zqz9


{"/m/016chh": "Memoir"}
2002 2
21st 1
a 7
acclimating 1
after 1
age 1
also 1
altercations 1
anaheim 1
and 8
angels 3
as 6
assigned 1
at 4
away 1
back 1
baseball 1
before 1
between 1
bishop 1
book 2
born 1
bullpen 1
bus 1
but 2
by 1
cameroon 1
carolina 1
center 1
central 1
college 1
columbiapresbyterian 1
describes 2
did 1
different 2
draft 1
drafted 1
dugout 1
during 1
ended 1
enrolled 1
family 1
field 1
first 1
florida 2
for 3
forth 1
from 1
game 1
games 3
going 1
guest 1
harvard 1
he 5
high 1
his 4
honor 1
hotel 1
in 9
including 1
intern 1
jobs 1
joe 1
king 1
larry 1
league 4
lefthanded 1
life 2
living 1
long 1
major 1
malaysia 1
mccarthy 5
medical 3
minor 2
moore 1
mormon 2
mound 1
moved 1
much 1
next 1
north 1
of 6
off 1
on 3
or 1
orlando 2
own 1
parents 1
participated 1
perspective 2
pioneer 1
pitcher 1
placed 1
played 2
predominantly 1
professors 1
provo 3
published 1
release 1
released 1
returned 1
rides 1
rookielevel 1
rotation 1
round 1
saunders 1
school 2
season 2
several 1
son 1
spent 1
spring 4
squad 1
squads 1
start 1
starting 1
subsequently 2
such 2
teammates 1
that 1
the 20
three 1
time 1
to 5
took 1
training 3
triplea 1
two 1
university 2
was 8
well 2
when 1
where 1
with 2
work 1
yale 1
young 1
