23519854
/m/06w9z4j
/m/06w9z4j
Erin Hunter
2009-06-09
a 48
about 6
absolutely 1
accidentally 1
accuses 1
acorntail 3
after 2
against 1
all 4
also 1
an 5
and 57
another 1
answer 1
answers 1
apprentice 4
apprentices 1
are 7
as 8
at 6
attack 1
attacked 1
attacks 1
avenge 1
away 1
battle 6
be 4
because 2
become 1
beechstar 1
begins 5
being 2
believes 1
below 1
between 2
blackstar 1
bluestar 1
bodies 1
bolt 1
border 5
borders 1
both 1
branch 1
break 1
brindlestar 1
brings 1
broken 1
brokenstar 1
but 4
by 8
camp 1
can 1
cat 6
catch 1
cats 5
caught 1
celebrate 1
choice 1
choose 1
chooses 1
chose 2
chosen 1
clan 7
clanmates 2
clans 6
cloudberry 3
clouds 1
cloudstar 1
code 24
come 1
complains 1
could 3
couple 2
cover 1
cross 1
cuts 1
daily 1
daisytail 1
dappletail 1
darkstar 2
darkstripe 2
day 1
death 3
decide 1
decides 1
decision 1
deeply 1
defend 1
defined 1
depicts 1
deputy 7
didnt 1
die 2
died 1
dies 3
different 1
dispute 1
do 4
driftkit 1
drive 1
drowning 1
during 2
dustpaw 1
each 1
eats 1
eight 1
elders 2
eleven 1
end 2
expecting 1
explains 1
extra 1
fall 1
fallowkit 1
falls 1
father 1
featherstar 2
feeding 1
fifteen 1
fight 3
finchstar 1
finds 2
fireheart 1
firepaw 1
firestar 1
first 1
fish 1
five 1
flintfang 1
flowerstem 2
flown 1
for 6
form 1
formed 2
forms 2
four 2
fourteen 1
fox 2
freshkill 3
freshly 1
from 12
front 1
fullmoon 1
future 1
gain 1
gathering 5
get 1
gives 3
giving 2
go 1
goes 2
going 3
goodbye 1
gorge 3
graypaw 1
graywing 4
greencough 2
group 1
guided 1
has 1
have 1
he 7
help 1
her 7
him 6
hint 1
hints 1
his 8
how 3
huge 1
hunting 1
hurt 1
immediately 1
importance 2
in 20
included 1
including 1
initiates 1
instead 1
intended 1
interrupted 1
into 1
introducing 1
introduction 1
is 13
it 8
its 1
jump 1
jumpfoot 1
keeps 1
killed 1
kills 1
kit 1
kits 8
know 1
known 1
last 1
lead 1
leader 13
leaders 1
leadership 1
leads 1
leafpool 4
learn 3
least 1
led 2
left 1
leopardstar 1
lightning 1
like 2
lilystar 1
lionheart 1
lionpaw 4
live 1
longtail 3
loss 1
loud 1
loyalty 1
made 1
make 1
makes 1
making 1
maplewhisker 2
may 1
meadowpelt 2
medicine 6
messing 1
ministory 9
moon 1
moons 2
moonstone 1
more 1
mossfire 2
mossheart 1
mother 1
mothpelt 3
much 1
must 7
name 1
named 2
new 6
next 2
nine 1
no 2
not 5
nothing 2
notices 1
nursery 1
of 25
old 2
on 4
one 2
oneeye 1
onewhisker 1
only 2
order 1
other 2
out 8
over 4
overhears 1
overstep 1
owl 1
picture 1
piece 1
pinestar 4
place 3
play 1
poppycloud 2
poppydawn 2
position 2
presumably 1
prey 2
promise 1
pushes 1
queen 2
raincloud 1
ravenpaw 1
redscar 2
regrets 1
reign 1
remark 1
right 2
ripplestar 3
river 1
riverclan 8
robinwing 1
rogues 1
ryewhisker 4
sandpaw 1
sandstorm 1
save 2
saved 1
saw 1
says 3
scolded 1
secret 1
see 1
seeing 1
sends 1
seven 1
shadowclan 9
share 1
she 4
should 1
shows 1
sign 3
since 1
sister 1
six 2
skirmish 1
skirmishes 1
skyclan 5
smell 1
so 3
some 1
sometimes 1
son 2
soon 3
splashheart 3
squirrelflight 1
staged 1
stalking 1
stand 1
starclan 8
start 1
starts 9
stealing 1
still 1
stop 2
story 4
summarizes 1
sunningrocks 2
surrounded 1
swoops 1
tactics 1
takes 1
tale 1
talks 2
tallstar 2
taught 1
teaches 1
tell 5
tells 11
ten 1
territorial 1
territory 2
thanks 1
that 15
the 70
their 6
them 1
then 1
there 2
they 8
think 1
thirteen 1
this 3
thoughts 2
three 2
through 1
thunderclan 7
tigerkit 1
tigerstar 1
time 1
to 36
together 1
told 1
tongues 1
too 1
true 1
trying 1
turns 1
twelve 1
two 3
twoleg 1
twolegs 1
unnecessary 1
until 1
up 3
us 2
vigil 2
visiting 1
warrior 5
warriors 8
was 9
watched 1
watches 1
we 1
were 5
what 4
when 8
where 3
which 2
whiteeye 1
whitestorm 1
who 2
why 1
will 3
windclan 6
wins 1
wish 1
wishes 2
with 10
wont 1
worried 1
worries 1
wrong 1
young 1
