10169466
/m/02q41t8
/m/02q41t8
Anthony Horowitz

a 14
about 2
actually 1
admired 1
after 2
agrees 1
and 21
annoyed 1
anxious 1
anything 1
appeared 1
appears 1
are 2
arrives 1
as 2
asks 1
assistant 1
assumed 1
assumes 1
at 2
audience 1
awakens 2
awakes 1
bag 1
be 2
begin 1
behind 1
being 1
believe 1
bends 1
bin 1
blank 1
bmw 1
book 2
bottle 1
burns 1
but 4
cannot 1
car 1
carol 2
carrier 1
chair 1
change 1
closet 1
completely 1
cries 1
crime 1
criminally 1
curtain 1
damaging 1
desperate 1
dinner 1
director 1
discuss 1
doctor 4
done 1
dont 1
down 1
dr 1
drama 1
during 1
easterman 13
encourages 1
end 3
ennis 3
even 1
excuse 1
experimental 1
explains 1
explicitly 1
fact 2
fairfields 1
farquhar 9
feelings 1
feels 1
for 5
forced 1
frightened 1
from 3
further 1
get 1
give 1
gone 1
grabs 1
guilt 1
he 12
help 1
her 5
him 5
his 3
hope 1
hospital 2
however 4
in 7
insane 1
interviewing 1
into 1
is 19
it 7
jacket 3
journey 1
just 1
keep 1
kill 1
killed 1
killer 1
knocks 1
leave 1
leaves 1
let 1
letter 1
like 1
liver 1
long 1
loved 1
mad 1
makes 1
mark 1
meets 1
men 1
methods 1
most 1
motives 1
name 1
neighbours 1
never 1
new 1
not 1
note 1
now 2
nurse 3
of 7
offers 2
on 1
once 2
out 2
perhaps 1
plimpton 3
pot 1
prove 1
psychiatric 1
put 1
quite 1
real 1
refuses 1
reluctant 1
reluctantly 2
removing 1
retrieves 1
returns 1
revealed 2
right 1
role 1
sandwiches 1
scalpel 2
see 2
seem 1
seemingly 1
seems 1
sent 1
serial 1
session 1
she 8
show 1
something 1
stabs 1
staff 1
stays 1
stories 1
strait 2
straitjacket 1
strapped 1
straps 2
styler 18
suddenly 1
suffocates 1
suggests 1
talk 1
taunts 1
tea 1
that 2
the 20
them 1
then 2
they 2
things 1
think 1
thinking 1
this 1
threatens 1
to 18
told 1
tricked 1
tries 2
true 1
turns 1
two 2
unconscious 1
undo 1
up 1
used 1
various 1
visiting 1
was 1
what 1
when 1
who 4
wine 1
with 5
wore 1
writer 1
wrong 1
