4613864
/m/0ccqjg
/m/0ccqjg
Robert Reed
2000
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
200 1
5000 1
a 14
advanced 1
after 1
alien 1
an 3
and 7
another 1
are 1
around 1
artificiallycreated 1
as 3
attempt 1
be 3
because 1
been 1
begin 1
being 1
believe 1
billion 1
black 2
blast 1
bleak 5
book 1
bridge 2
builders 2
built 2
by 2
calling 1
can 1
capable 1
circumnavigation 1
civilization 1
come 1
command 1
completed 1
concluded 1
constructed 1
constructing 1
contain 1
containing 1
control 1
convert 1
core 1
could 1
creatures 2
cruise 1
cuts 1
decide 1
descendants 1
destroy 1
destroying 1
destroys 1
discover 1
divert 1
ends 1
engines 1
enough 1
enters 1
escape 1
expanding 1
explore 1
explorers 4
extension 1
fighting 1
finding 1
first 1
flight 1
for 1
from 1
functionally 1
further 1
galaxy 1
great 2
group 1
has 1
have 1
heart 1
hidden 1
hole 2
however 1
humans 1
immortal 1
in 4
indestructible 1
insectlike 1
intercept 1
interior 1
interstellar 1
into 2
investigate 1
inviting 1
ionic 1
is 3
it 8
its 2
itself 1
join 1
just 1
large 1
layer 1
levels 1
living 1
makes 1
marrow 4
massive 2
may 1
milky 1
much 1
nearly 1
new 1
of 16
off 1
on 1
one 1
original 2
over 2
past 1
plan 1
planet 2
prison 3
race 1
races 1
reason 1
rest 1
sees 1
ship 10
skim 1
slow 1
slowly 1
so 1
society 1
steer 1
stop 1
structure 1
suggestion 1
superstructure 1
surface 1
systems 1
take 1
technologically 1
technology 1
that 5
the 35
their 1
them 3
themselves 1
these 1
they 6
this 1
thousands 1
thrust 1
thus 1
to 10
towards 1
twisted 1
uncharted 1
undermining 1
universe 1
unstoppable 1
upper 1
vision 1
way 1
wayward 3
when 2
with 3
within 1
years 2
