2682333
/m/07xnnb
/m/07xnnb
Sidney Sheldon
1977
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 3
accident 1
agree 1
all 1
allowed 1
an 1
and 3
at 1
be 1
becoming 1
bylaws 1
cashhungry 1
change 1
company 2
control 1
daughter 1
desperate 1
died 1
elizabeth 2
empire 1
family 2
father 1
filled 1
firm 1
from 1
has 1
head 1
her 1
his 1
hoped 1
in 3
international 1
is 1
it 1
its 1
just 1
left 1
man 1
members 1
men 1
mysterious 1
of 2
one 1
only 1
prevent 1
public 1
relatives 1
roffe 1
shareholders 1
since 1
sons 1
steal 1
stocks 1
that 1
the 4
their 1
this 1
to 3
until 1
was 1
wealthiest 1
who 1
with 2
world 1
