1798336
/m/05xwn9
/m/05xwn9
Nikolai Leskov
1881
a 12
absolutely 1
accomplices 1
accomplishments 1
achieved 1
after 4
agree 1
aid 1
alexander 1
amaze 1
amazes 1
an 3
and 21
answer 1
any 1
appears 1
appropriatelysized 1
archetype 1
are 4
arrives 2
arriving 1
as 6
ascension 1
at 3
authorities 1
back 1
barricade 1
be 5
because 2
become 1
being 1
believing 2
better 2
between 1
body 1
both 1
brick 1
but 4
by 2
can 2
cannot 2
check 1
clean 1
clockwork 1
closer 2
colloquialisms 1
come 3
comes 1
commenting 1
comments 1
common 2
consciousness 1
cossack 1
cossacks 1
craftsmanship 1
craftsmen 1
created 1
creativity 1
crimean 1
crowd 1
crumb 1
crushed 1
curses 1
czar 1
dance 1
decides 1
deeply 1
die 1
differently 1
dirty 1
discovers 1
disgusted 1
do 1
does 1
doesnt 1
done 1
dragging 1
drinking 1
drunkard 1
duel 1
dying 1
earliest 1
embarrassing 1
embedded 1
emperor 2
ends 2
engages 1
england 4
english 6
engraved 1
even 1
example 1
explains 1
failure 1
feels 1
find 3
finding 1
finds 2
fire 1
fires 1
flea 8
folkflavored 1
for 3
friend 1
from 1
funny 1
gave 1
get 2
gets 1
getting 1
given 1
good 1
got 1
guide 1
gun 2
gunsmiths 2
had 2
hand 1
hardearned 1
has 1
have 5
having 1
he 14
head 1
hide 1
him 6
his 5
homesick 1
horseshoes 1
hospital 1
hosts 1
however 1
i 2
identification 1
if 1
in 10
indeed 1
inform 1
ingenuity 1
insisting 1
into 2
invented 1
invention 1
inventions 1
invitation 1
ironically 1
is 7
it 7
its 2
just 1
keep 1
keeps 1
key 1
labor 1
language 1
lefty 6
leskov 3
levsha 1
life 1
locate 1
look 1
machines 1
made 2
man 1
managed 1
many 1
may 3
mechanical 1
message 2
metal 1
microscope 1
microscopes 1
mistreats 1
modern 1
most 1
mostly 1
move 1
much 1
muskets 1
nails 1
natural 1
needs 1
neologisms 1
never 2
new 1
next 1
nicolas 1
no 2
nothing 1
now 1
odor 1
of 13
off 2
oily 1
on 5
one 2
only 1
onto 1
open 1
opportunity 1
oppressive 1
or 1
order 1
orders 1
out 5
outperform 1
pavement 1
people 2
petersburg 1
platov 7
point 1
poor 1
progress 1
proverbs 1
put 1
realizes 1
relationships 1
replacement 1
returns 1
roof 1
russia 4
russian 4
sailor 3
saint 1
same 1
sayings 1
see 1
seen 2
sees 1
send 1
servant 1
shown 2
signatures 1
signify 1
since 1
slavophiles 1
small 3
smashed 1
smell 1
so 2
sobering 1
society 1
soldiers 1
some 1
someone 3
something 1
staying 1
steel 1
stop 1
story 5
study 1
succeed 1
support 1
symbol 1
talented 1
talk 1
technical 1
tell 1
tells 1
that 10
the 48
their 4
them 5
themselves 1
then 1
they 7
things 1
this 1
though 2
three 1
through 1
thrown 1
to 34
trapped 1
travels 2
treated 1
tries 1
try 3
tsar 3
tula 1
turned 1
turns 1
unique 1
unknowns 1
until 1
up 4
used 3
variety 1
various 1
very 1
views 1
villagers 1
visiting 1
war 1
way 2
ways 1
we 1
well 4
west 1
westernizers 1
what 1
when 3
which 2
while 2
who 2
whom 1
wind 1
winds 1
with 8
without 1
work 2
workshop 3
world 1
yelling 1
