1041160
/m/040t6s
/m/040t6s
Susanna Clarke
2004-09-08
180 1
1806 1
1816 1
a 29
about 4
access 1
accidental 1
after 5
afterwards 1
again 1
against 1
age 1
aid 1
alive 1
all 1
allow 1
along 2
also 1
although 4
an 3
and 33
appear 1
applies 2
arabella 8
are 5
argues 2
arguing 1
army 1
article 1
as 3
asks 1
assist 1
assumes 1
at 4
attempts 5
attend 1
autumn 1
balls 1
bar 1
bargain 1
battle 1
be 5
become 4
becomes 3
becoming 1
begin 1
being 2
believe 4
believes 1
black 3
book 2
books 1
both 1
bringing 1
broken 1
bullet 1
but 6
butler 1
by 9
cabinet 2
campaign 1
can 1
cannot 2
capable 1
captive 1
cared 1
castle 1
cathedral 1
certain 1
challenges 1
characters 1
childermass 4
claims 1
clash 1
collection 1
come 1
coming 1
communicate 1
company 1
confounded 1
considerable 1
contact 1
continually 1
conversation 1
convinces 1
country 1
countrynbspnbsp 1
couple 1
crazed 1
creates 1
cure 2
curse 1
curses 1
dance 1
dancing 1
dangerous 1
darkness 2
day 1
days 1
dead 2
deal 1
defeat 1
deliberately 1
depicts 1
despite 1
destroys 1
determined 1
died 1
dies 1
differing 1
discovers 2
dismisses 1
dissuade 1
distance 1
do 1
doctor 1
duke 1
during 1
each 4
earlier 1
easier 1
eerie 1
efforts 1
either 1
emma 4
enchant 1
enchanted 1
enchantment 2
encounters 1
england 4
english 6
engulfs 1
enters 1
eternal 4
evening 1
event 1
experiencing 1
experimenting 1
faerie 2
fails 2
fairy 5
fairythe 1
family 1
feats 1
fiance 1
filled 1
final 1
find 1
flora 3
follows 1
fond 1
for 4
forced 2
forgotten 1
free 1
friends 3
from 6
frustrated 1
gain 1
generates 1
gentleman 9
gentlemen 1
george 1
gilbert 1
given 1
gives 1
goes 2
government 1
grasp 1
greysteel 1
group 2
hair 7
hairwho 1
half 1
hands 1
happy 1
has 3
have 1
he 14
held 2
help 2
helps 2
her 15
herself 1
him 12
himself 2
his 6
history 1
home 3
hope 1
horrific 1
however 2
hundred 1
husband 1
if 1
ii 1
iii 2
immediately 2
importance 1
imprecision 1
in 24
ingratiate 1
initially 1
inkling 1
inside 1
instructions 1
interest 1
into 2
is 11
it 4
its 1
january 1
john 7
jonathan 1
keep 1
keeps 1
killed 1
king 10
kingdom 1
knowledge 3
lady 6
lapses 1
large 1
lassitude 1
later 4
learn 1
learned 1
learning 1
legendary 1
letters 1
life 1
liking 1
living 1
london 5
long 1
longtime 1
losthope 3
made 2
madness 1
magic 14
magical 1
magician 4
magicians 4
make 2
makes 1
making 2
manages 1
marriage 1
marry 1
may 1
meanwhile 1
meet 1
meets 5
member 1
men 1
minister 1
ministers 1
mirror 2
missing 1
modern 1
more 1
move 1
moves 3
mr 10
nameless 2
napoleon 2
new 1
news 1
newspapers 1
night 4
nights 1
no 3
norrell 25
norrellites 2
north 1
northern 1
not 3
novel 1
now 1
of 31
on 5
one 1
ongoing 1
opens 3
opinions 1
or 1
order 1
orders 1
other 3
others 1
out 2
outlining 1
over 2
own 1
owns 1
padua 2
part 1
particular 1
peninsular 1
pens 1
performs 1
placed 1
plots 1
pole 7
poles 1
popular 1
practical 2
practice 1
practising 1
problems 1
produced 1
promises 1
prompting 1
property 1
prophecy 3
proves 1
public 1
pupil 2
purchasing 1
rarely 1
raven 5
reappears 1
recall 1
recites 2
regret 1
relates 1
renaissance 1
rescue 1
resident 1
respectable 1
restore 1
result 1
resurrection 1
retorts 1
return 2
returning 1
returns 3
review 1
revive 1
roads 1
same 2
sanity 1
save 1
scathing 1
scene 1
secludes 1
segundus 3
send 1
sending 1
servant 1
settles 1
several 2
shall 1
she 5
shoot 1
should 1
shropshire 1
sick 1
significance 1
simply 1
sir 4
situation 1
skill 1
slave 2
society 2
solved 1
some 1
sparks 1
speak 2
speaks 1
spells 1
spent 2
splits 1
spreads 1
statues 1
stephen 7
story 1
strange 26
stranges 1
strangites 2
streetmagician 1
strenuous 1
strikes 1
strong 1
stunned 1
succeed 1
succeeded 1
suddenly 1
summer 1
summoning 1
summons 1
surrounding 1
take 1
takes 2
tell 1
tells 1
temperaments 1
than 2
that 12
the 59
their 4
then 2
theoretical 1
theories 1
there 1
thereafter 1
they 10
this 1
thistledown 8
threatens 1
three 1
time 2
times 1
to 43
toll 1
town 1
towns 1
trapped 2
travelling 2
travels 1
two 2
unclear 1
undo 2
unrelated 1
up 1
upon 1
uskglass 4
vague 1
various 1
venice 1
views 1
vinculus 3
volume 2
waiting 1
walter 4
war 2
was 2
waterloo 1
weak 1
wellington 1
where 2
wherever 1
which 3
while 3
who 7
wife 1
will 2
wintertowne 1
with 25
without 4
working 1
works 1
would 1
write 1
year 1
years 2
york 2
young 1
