28700143
/m/0cz94_6
/m/0cz94_6
Jules Renard
1894
a 3
adult 1
adventures 1
amusing 1
an 1
and 4
around 1
battle 1
boy 1
carotte 3
child 1
comical 1
cruel 1
cunning 1
daily 1
de 3
delightful 1
enjoys 1
experiences 1
family 1
father 1
follows 1
franois 1
grows 1
hates 1
he 1
him 3
his 1
humiliations 1
indifferent 1
is 2
journey 1
lepic 1
mother 1
moving 1
nature 1
nicknamed 1
notwithstanding 1
of 4
parents 1
poil 3
reader 2
redheaded 1
relationships 1
so 1
stand 1
story 1
that 1
the 9
this 1
to 4
tragedy 1
unloved 1
up 2
uses 1
victim 1
who 2
with 4
world 2
young 1
