4817614
/m/0cphqs
/m/0cphqs
James White

a 3
accident 1
also 1
ambulance 2
amputation 1
and 2
at 2
back 1
because 1
by 2
conway 4
deal 1
decides 1
delivers 1
destructive 1
diagnostician 1
elective 1
end 1
exile 1
firsthand 1
from 1
geriatric 1
goglesk 1
great 1
he 2
healer 1
hospital 1
hudlar 2
inadvertently 1
is 1
its 1
khone 2
learns 1
limb 1
links 1
masshysteria 1
minds 1
more 1
nonsentient 1
off 1
on 2
permanent 1
physical 1
planet 1
prilicla 1
problems 1
proposes 1
protector 1
proximity 1
racial 1
reartofront 1
replaced 1
require 1
response 1
rhabwar 1
see 1
sentient 1
ship 2
some 1
station 1
staving 1
stranger 1
successfully 1
telepathic 1
the 3
their 1
to 2
transplant 1
transplants 1
treat 1
unborn 1
victims 1
violent 1
visits 1
with 2
witnesses 1
