3266354
/m/0927y8
/m/0927y8
Douglas Coupland
1999
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
180s 1
a 9
absences 1
across 1
actress 1
after 2
an 1
and 7
away 1
b 1
begins 1
behind 1
between 1
but 2
chapter 1
chapters 1
characters 1
child 1
closeted 1
colgate 3
composed 1
crashed 1
daughter 1
dead 1
death 1
decadent 2
decides 1
dies 1
different 1
disappear 1
disappearances 1
drugs 1
each 1
encounter 1
family 1
film 1
flashback 1
flashbacks 2
flu 1
former 1
from 2
give 1
has 1
have 1
he 2
heading 1
her 1
his 3
identity 1
in 1
intermixed 1
into 1
is 5
it 1
jack 1
john 3
johnson 3
kerouac 1
leaving 1
life 1
lifestyle 1
like 1
live 1
lives 1
meet 1
meeting 1
movie 1
night 1
no 1
novel 3
of 7
on 2
once 1
only 1
opportunity 1
order 1
pageant 1
person 1
plane 1
plot 1
present 1
producer 1
progresses 1
revived 1
road 1
rock 1
scratch 1
she 3
star 2
states 1
stories 3
story 2
survives 1
susan 4
takes 1
television 1
tell 1
tells 1
temporal 1
temporally 1
temporary 1
that 2
the 15
their 4
then 1
they 2
third 1
this 1
through 1
to 4
united 1
vision 1
was 1
while 1
wife 1
with 2
without 1
women 1
world 1
written 1
yearlong 1
