6111215
/m/0fqmjx
/m/0fqmjx
Gore Vidal
2000-09
{"/m/0hwxm": "Historical novel"}
1 1
140 1
2 1
3 1
a 2
accept 1
action 1
after 1
aid 1
also 1
america 1
american 1
and 7
around 1
arouse 1
artistic 1
as 3
attack 1
attacked 1
attacking 1
attention 1
backed 1
bring 1
broken 1
but 1
campaign 1
case 1
centers 1
china 1
codes 1
corner 1
could 2
covers 1
cultural 1
dawn 1
demands 1
dominant 1
embargo 1
ever 1
fight 1
foreign 1
get 1
given 1
had 2
harbor 1
his 1
hollywood 1
ii 1
in 1
intentionally 1
into 4
its 1
japan 5
john 1
keeping 1
knew 1
la 1
makes 1
maneuvers 1
massive 1
military 1
never 1
no 1
novel 1
of 3
oil 1
pearl 1
pending 1
place 1
pledge 1
populace 1
postwar 2
powell 1
president 1
provoked 1
roosevelt 1
scene 1
so 1
some 1
sons 1
states 2
superpower 1
take 1
tennessee 1
that 2
the 15
this 1
to 5
touche 1
trade 1
unconditional 1
united 2
unless 1
us 5
vidal 1
voters 1
war 4
warning 1
was 1
well 1
while 1
will 1
williams 1
with 2
withheld 1
world 1
yours 1
