13361907
/m/03c2x7h
/m/03c2x7h
Frederic Dannay

a 6
adams 1
age 1
alike 1
almost 1
and 6
another 1
artist 1
at 1
aunt 1
before 1
began 1
but 1
by 1
church 1
circumstantial 1
citizen 3
combined 1
conclusion 1
corners 1
counsel 1
efforts 1
eighty 1
eligible 1
else 1
empaneling 1
england 1
every 1
everything 1
evidence 1
falls 1
famed 1
fanny 1
found 1
guest 1
her 1
his 1
house 1
i 2
immediately 1
in 2
income 1
insist 1
investigation 1
is 3
it 1
johnny 1
josef 1
judge 2
jury 2
killer 1
kowalczyk 1
leads 1
legal 1
local 1
lynching 1
major 2
mock 1
most 1
murdered 1
named 1
naturalist 1
nearly 1
never 1
new 1
notable 1
noted 1
of 5
on 1
only 1
paint 1
painting 1
passing 1
planned 1
potential 1
proponent 1
props 1
reveals 1
school 2
scrutiny 1
secondmostnotable 1
see 1
she 1
shinn 5
so 1
successful 1
suspicion 1
takes 2
that 1
the 9
tiny 1
to 2
town 3
trail 1
tramp 1
trial 3
up 1
upon 1
village 1
what 1
when 1
who 1
withstand 1
witnesses 1
would 1
