21722552
/m/05mw3fx
/m/05mw3fx
Wendy Mass
2008
{"/m/0dwly": "Children's literature"}
13th 1
a 7
about 2
accompanying 1
addressed 1
all 2
an 2
and 6
antique 1
antiques 1
apartment 1
are 3
as 1
assigned 1
at 1
before 1
being 1
best 1
bet 1
birthday 3
box 7
break 1
by 2
can 2
car 1
care 1
children 1
chose 1
city 1
community 2
contact 1
contents 1
continuously 1
convinces 1
crash 1
dealer 1
deliver 1
delivers 1
destroying 2
determined 1
died 1
discover 1
do 1
doing 1
due 1
duo 1
each 1
earlier 1
end 2
explains 2
fair 1
father 1
find 2
fink 2
first 1
five 1
florida 1
for 3
four 1
friend 2
friends 1
gets 1
goal 1
grandmother 1
hanging 1
he 1
help 1
him 2
his 6
house 1
immediately 1
important 1
impulsiveness 1
in 3
inside 1
into 1
is 4
it 1
item 2
items 2
its 1
jeremy 10
keyholes 1
keys 3
learn 1
lessons 1
letter 1
life 3
lizzy 5
locks 1
locksmith 1
losing 1
lost 1
mailman 1
meaning 2
meets 1
mom 1
month 1
mr 1
muldoun 1
must 3
new 1
note 1
of 7
on 2
once 1
one 1
only 2
open 5
or 1
original 2
oswald 1
out 1
owner 1
owners 1
package 3
pawn 1
pawned 1
people 2
performance 1
performing 1
pick 1
possibly 1
preparing 1
property 1
reached 1
realize 1
recognizes 1
retire 1
returned 1
returning 1
sends 1
service 2
set 1
sharing 1
so 1
some 1
special 1
spend 1
stating 1
still 1
summer 2
taking 1
teenagers 1
that 3
the 32
their 1
them 1
these 1
they 6
thirteenth 2
to 14
trouble 1
truly 1
two 1
unable 1
understands 1
views 1
when 2
while 1
who 4
why 1
with 2
without 1
wooden 1
words 1
work 2
worrying 1
years 1
york 1
