16796971
/m/0406h5l
/m/0406h5l
Dominic Barker
2008-04-07
{"/m/0dwly": "Children's literature"}
75 2
a 16
about 2
accompany 1
address 1
after 3
ago 1
alive 1
all 4
along 1
an 1
anatoly 2
and 15
another 1
appointed 1
aptly 1
are 2
armada 2
armed 1
arrange 1
as 5
asking 1
assassins 5
at 1
away 1
back 1
be 8
because 1
becoming 1
bedroom 1
been 2
before 3
being 2
bell 4
beo 7
beowulf 1
beware 1
big 1
blart 16
book 2
books 1
both 1
bounty 1
boy 1
bride 1
brief 1
bring 1
but 1
by 4
capablanca 9
capital 1
captain 1
catch 1
chilling 1
claiming 1
clapper 1
clear 1
confession 2
consciousness 1
court 1
crowd 1
cured 1
currently 1
day 1
dead 2
deadly 1
deal 1
death 1
decided 1
declare 1
defend 2
deliriousness 1
determined 1
didnt 1
die 1
disaster 2
doom 2
drag 1
dream 1
dreaming 1
each 1
earwig 1
emergency 2
endless 1
ends 1
escapes 1
escaping 1
ever 1
except 1
family 2
far 1
fever 1
fiasco 1
find 1
finds 1
flagship 2
fleet 1
for 8
form 1
from 3
fulfill 3
fully 1
gathered 1
gigantic 2
gives 1
go 1
goes 1
golden 1
great 1
greatest 2
gregor 2
grizzled 1
guild 2
had 1
hamster 1
harbour 1
has 2
have 1
he 4
head 1
hear 1
hearing 1
heir 1
her 3
him 1
his 4
hour 1
huge 1
husband 3
if 1
ignored 1
ii 1
illyria 5
illyrian 2
in 11
indignation 1
informed 1
interrogate 1
intervening 1
into 1
is 9
it 3
its 2
itself 1
kidnap 1
kidnapped 1
king 5
kingdom 1
knight 1
knightbeo 1
knock 1
lapsed 1
last 2
latest 1
lay 1
led 1
leeches 1
lois 9
lowenthal 1
make 1
manage 1
manages 1
marriage 2
married 2
may 1
men 1
messengers 1
mika 3
miracle 1
mirror 1
missing 1
misty 1
month 2
much 1
murdered 1
must 2
names 1
national 1
new 2
newly 1
newlywed 1
news 1
night 2
noblemen 1
not 1
obviously 1
of 20
off 2
on 3
one 2
only 3
or 2
order 1
other 1
out 2
outside 1
over 1
past 1
people 1
persist 1
physician 1
pig 1
place 1
plan 1
poisoninduced 1
poisoning 1
power 1
pressing 1
prevent 1
previous 1
prince 2
princess 11
problem 1
promise 1
prophecy 7
put 1
queen 1
quest 2
quite 1
rang 1
reacts 1
recovering 1
refuses 1
regained 1
rejected 2
reminded 1
repeated 1
republic 1
result 1
returned 1
returns 1
revolution 1
ring 1
ringing 1
rings 1
rise 1
room 2
royal 2
rushes 1
said 1
sail 1
saved 2
seen 2
sent 1
serviced 1
set 4
ship 1
short 1
should 1
show 1
siege 1
sir 1
slaughter 1
sleep 1
solemn 1
something 1
sometimes 1
son 1
sorcerer 1
soup 1
starting 1
starts 1
states 1
styxia 3
suit 2
suitor 1
suitors 2
sworn 1
that 11
the 51
their 2
them 2
then 4
there 3
they 3
this 3
throne 2
thus 3
times 1
titled 1
to 30
torment 1
toxin 1
turns 1
two 4
unable 1
unconscious 1
unless 1
until 2
up 2
uri 1
user 1
vow 1
wanted 1
was 6
well 1
when 2
where 1
which 1
while 2
who 3
will 4
with 6
words 2
world 2
would 4
