14106160
/m/03ctvxk
/m/03ctvxk
Boris Strugatsky
1965
158 1
170 1
a 17
able 1
abundance 2
accepted 1
addicted 1
affluence 2
after 1
again 1
age 3
agent 1
alcoholism 1
all 1
also 1
ambiguous 1
amounts 1
an 5
and 16
anything 1
apparent 1
apparently 1
apprentice 1
are 2
argument 1
art 1
artificial 1
arts 1
as 6
at 4
authors 1
bathtub 1
bathtubs 1
be 4
become 3
becomes 1
before 1
began 1
being 3
believes 1
belly 1
better 1
between 2
bloodless 1
boob 1
boredom 1
brain 1
brought 1
but 1
by 5
caught 1
causes 1
chapters 1
circle 1
circles 1
city 4
classmate 1
clues 1
common 1
comparison 1
component 2
concludes 2
council 1
crowds 1
culture 3
deaths 2
decadence 1
decadent 1
destroy 2
devote 1
difficult 1
distracted 1
distributed 1
does 1
done 1
dreams 1
earth 1
education 1
electronic 2
electronically 1
end 4
enjoy 1
entering 1
entire 1
even 2
eventually 1
exhaustion 1
express 1
expression 1
extreme 1
fascists 1
fatal 1
fight 1
final 2
find 1
finds 3
first 1
fishers 1
for 7
foresees 1
form 1
former 1
fought 2
found 1
free 2
from 2
gangsters 2
generating 1
get 1
getting 1
given 1
gradually 1
great 1
has 1
have 1
he 8
hemorrhages 1
highest 1
him 3
himself 1
his 5
however 2
humanity 1
if 1
illusory 1
in 10
include 1
increasing 1
induce 1
intense 1
interested 1
international 1
into 2
investigate 1
investigating 1
is 12
it 7
its 1
ivan 1
kills 1
known 1
laboratories 1
laboratory 1
large 1
last 2
lead 1
leaves 1
left 1
lies 1
life 2
like 1
living 1
making 2
mankind 1
marxist 1
member 1
millions 2
mind 1
more 1
most 2
mysterious 2
narcotic 1
need 1
neglect 1
nervous 1
networks 1
never 2
no 2
normal 1
not 5
nothing 1
novel 4
now 2
of 34
off 1
official 1
on 2
only 1
open 1
or 2
orgiastic 1
otherwise 1
our 1
out 2
over 1
paradise 2
patrons 1
peck 3
people 3
perspective 1
pg 2
physically 1
place 1
placed 1
pleasurable 1
pleasure 1
plugs 1
point 1
posing 1
potentially 1
present 1
priceless 1
priority 1
procure 1
product 1
progress 2
progressively 1
provide 1
purpose 1
radio 1
ravaged 1
reader 1
reality 4
receiver 1
recognize 1
refers 1
represents 1
resist 1
resort 1
responsible 1
rethink 1
revolutionaries 1
revolutionary 1
ritualistically 1
role 1
saying 1
scene 1
scientific 1
seaside 1
second 1
secret 2
seekers 1
series 1
shibboleth 1
shivers 1
significantly 1
silver 1
situation 1
situations 1
slug 11
small 1
so 1
society 1
solar 1
soldiers 1
some 2
sort 1
soul 1
space 1
spend 1
spoke 1
state 1
staving 1
stop 1
story 1
struggling 2
succeeds 1
surviving 1
system 1
tells 1
terror 1
than 1
that 9
the 54
their 1
them 2
there 1
these 1
they 4
thinks 1
thirdworld 1
this 5
thrill 1
time 2
to 18
tour 1
tourism 1
trafficking 1
turns 2
twelve 1
ultimate 1
unconscious 1
undercover 1
unit 1
universal 1
unprepared 1
until 2
use 2
used 2
using 1
utterly 1
virtually 1
visits 1
war 1
way 2
were 2
what 1
when 2
where 2
whether 1
which 4
while 1
who 1
whole 1
widely 1
will 5
with 3
work 4
working 1
works 1
world 4
worth 1
would 2
writer 1
xenai 1
years 1
you 2
young 1
your 1
yourselves 1
zhilin 15
