2684573
/m/07xvn8
/m/07xvn8
Kate Tremayne
2004-03-01
{"/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 2
after 1
america 1
and 5
are 2
as 1
bankrupt 1
battle 1
bay 1
be 1
become 1
been 1
being 1
botany 1
breaking 1
but 2
by 1
colony 1
convicted 1
death 1
deportation 1
desperately 1
despite 1
deteriorating 1
dies 1
discarded 1
edward 1
effects 1
ensure 1
estate 2
estranged 1
faces 1
family 3
father 1
fighting 1
finally 1
for 1
from 4
fully 1
further 1
gunshot 1
gwendolyn 1
has 2
he 3
healed 1
health 1
hearing 1
her 1
herself 1
highway 1
him 1
his 5
hold 1
however 1
ill 1
innocence 1
into 1
is 2
japhet 1
john 1
late 1
london 1
losing 1
loveday 3
lover 1
marriage 1
meanwhile 1
men 1
meriel 1
mistress 1
never 1
of 5
on 1
penal 1
point 1
powerful 1
prison 1
prove 1
races 1
reinstate 1
returned 1
returns 1
robbery 1
seeks 1
sent 1
she 2
shipyard 1
shocks 1
st 1
stretched 1
struggles 1
that 1
the 5
there 1
to 7
together 1
too 1
trevowan 1
tuberculosis 1
wealthy 1
where 1
wife 2
will 1
working 1
wound 1
