20359864
/m/04_10h4
/m/04_10h4
Darren Shan
2009
{"/m/01hmnh": "Fantasy", "/m/08sdrw": "Adventure novel"}
a 38
able 1
about 3
action 2
active 1
admits 1
advanced 1
afraid 1
after 4
again 2
against 1
agrees 1
air 1
all 6
ally 1
along 1
alongside 1
also 3
alterations 1
always 1
an 2
ancient 1
and 74
annihilation 1
another 3
anymore 1
anywhere 1
appease 1
are 6
ark 2
around 3
arranged 1
arrive 1
as 26
assures 1
at 7
attacks 1
attempt 2
awaiting 1
away 1
back 6
bang 2
battle 1
be 10
bec 23
because 1
becomes 1
becs 1
been 6
before 9
begin 1
beginning 1
begins 6
being 3
beings 1
believes 1
beranabus 2
besieged 1
betrayed 1
better 1
between 1
biblical 1
big 2
bigbang 1
black 2
blow 1
bo 1
board 2
bodies 1
body 3
bonds 1
book 2
born 1
both 1
bothering 1
brauss 1
breaking 1
breaks 1
brief 1
burst 1
but 14
by 7
can 12
cannot 1
carcery 1
carved 1
catch 1
catches 1
causing 2
cave 2
change 2
changed 1
changes 1
chess 1
chessboard 2
choose 1
choosing 1
cliff 1
clip 1
close 2
come 1
comes 1
coming 1
completes 1
computer 1
confront 1
conscious 1
consciousness 1
control 2
conversation 1
cover 1
create 2
created 1
creates 1
creature 1
creatures 6
cross 1
crossing 1
crux 2
cuts 1
cutting 1
dark 1
darren 1
days 1
deal 2
death 5
deathlybec 3
deaths 1
decapitated 1
decide 10
decided 3
decides 1
decision 2
demon 6
demonata 3
demonatas 1
demonic 1
demons 11
dervish 6
destroy 4
destroyed 1
destroying 1
detonated 1
developing 1
devices 1
devised 1
diabolical 1
did 4
dies 1
digging 1
direct 1
directing 1
disagreement 1
disciple 1
discussing 1
diverts 1
do 2
down 3
drains 1
dream 2
drust 1
during 1
earth 5
earths 1
easily 1
edge 1
end 1
ends 1
energy 2
enough 1
entrance 2
escaping 1
even 2
events 1
every 1
everyone 1
everything 10
evil 1
exactly 2
expanded 1
explaining 1
explains 1
explicitly 1
exsoldier 1
extent 1
eyes 1
face 1
fail 1
falling 1
falls 1
feared 1
few 2
fight 3
fighting 3
figure 1
find 1
finishes 1
first 4
flow 1
follow 1
following 2
fool 1
for 11
forcing 1
forest 1
forestall 1
former 1
forming 1
four 2
fourth 1
free 1
from 2
front 1
fronted 1
fully 1
gathered 1
genius 1
get 5
girl 2
giving 2
globe 1
go 13
going 3
grab 1
