12524814
/m/026brmp
/m/026brmp
David Weber
2007-01-09
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
14th 1
17th 1
800 1
a 22
about 1
accepts 1
administrator 2
advanced 4
adviser 1
after 2
alban 1
alexandria 2
alien 1
all 3
along 1
also 1
alters 1
although 1
an 6
and 25
android 1
angels 1
annihilated 1
apparent 2
approach 1
archangel 1
are 9
armageddon 1
arrive 1
artifacts 1
as 2
assassination 1
at 4
attack 1
attacking 1
attempt 1
available 1
awaiting 1
awakening 1
awakes 1
away 2
base 2
battle 2
be 4
becomes 2
before 1
beginning 1
begins 1
behind 1
being 1
believe 1
believes 1
beneath 1
better 1
bible 1
bombardment 1
book 1
break 1
but 3
by 14
call 1
called 2
cannons 1
capable 1
cayleb 3
century 2
changes 1
charis 6
church 4
circle 1
city 3
clear 1
colonists 2
colonization 1
colonize 1
colony 2
combined 1
come 1
command 2
concepts 1
consent 1
could 1
counterattack 1
create 1
created 2
creating 1
crown 1
crowned 1
cryogenic 1
danger 1
de 1
dead 1
decade 1
deceased 1
deep 1
defeat 1
defeating 1
deifies 1
destroyed 2
detected 1
down 1
due 1
during 1
earth 1
effectively 1
electronic 1
eliminate 1
emerging 1
end 2
ends 1
enough 1
equivalent 1
eric 1
establishes 1
europe 1
events 1
eventually 1
examine 1
expeditions 1
explained 1
facto 1
favorable 1
female 1
finally 1
first 2
fleet 2
fleets 1
for 4
force 1
freethinking 1
from 2
full 1
funeral 1
future 1
gains 1
galleons 1
galleys 1
gbaba 6
generations 1
genocidal 1
god 2
gradually 1
greatly 1
group 5
groups 2
guardian 1
gunpowder 1
haarahld 3
had 1
has 1
he 1
head 1
heavilyarmed 1
helping 1
her 2
hereafter 1
hide 1
hiding 1
his 2
house 1
however 2
human 1
humanity 2
humans 3
husband 1
hyperspace 1
immediate 1
improved 2
in 10
including 2
inevitable 1
influence 1
information 1
inhabitants 1
inner 1
institution 1
interfering 1
into 4
introduce 1
introduced 1
introduces 1
is 12
it 3
its 3
kauyung 1
killed 1
king 4
kingdom 1
knowledge 2
known 1
land 1
langhorne 6
large 1
largely 1
later 1
leaders 1
led 2
left 1
less 1
level 2
library 1
life 1
light 1
long 1
losing 1
lucifer 1
machiavellian 1
made 2
male 1
manage 1
managed 1
manages 1
mankind 1
mass 1
medieval 1
members 2
memories 2
merlin 5
mission 4
mobile 1
month 1
more 1
most 3
mountain 1
movement 1
name 2
named 2
neighbors 1
new 1
nimue 3
not 3
now 1
nowsuperstitious 1
obvious 1
ocean 1
of 26
offered 1
officer 1
on 4
once 1
one 1
open 1
orbital 1
order 1
organizes 1
original 1
other 1
out 1
pass 1
passengers 1
pei 2
permanently 1
personal 1
personality 1
plan 1
planet 1
plans 1
population 1
prepare 2
preserve 2
preserved 1
prince 1
proscribed 1
proscribes 1
race 1
radical 1
radicals 1
ramp 1
ready 1
rebuild 1
recording 1
records 1
recovered 1
reef 1
reencounter 1
reformation 1
region 1
relatively 1
religion 1
religious 1
restricted 1
reversing 1
room 1
ruins 1
safehold 5
safeholdian 2
sailing 1
saving 1
seaborne 1
second 2
secret 1
sent 1
several 1
shanwei 5
she 2
ships 1
should 1
situation 1
sleep 1
slightly 1
small 1
smaller 1
sneak 1
so 1
society 1
some 1
somewhat 1
son 1
species 1
spend 1
split 1
spy 1
stars 1
starship 1
such 1
sunk 1
supporters 1
surrounding 1
tactical 1
takes 1
technically 1
technological 2
technology 9
terms 1
than 2
that 5
the 59
then 1
therefore 1
they 8
this 3
thousands 1
to 23
tracked 1
travelling 1
trickery 1
trip 1
trust 1
two 2
under 1
unless 1
until 2
up 1
upon 1
use 1
uses 1
version 1
very 1
vessels 1
via 1
wait 1
war 2
warfare 1
was 1
way 1
weapons 1
were 2
what 1
when 2
which 3
while 2
who 1
will 1
wishes 1
with 7
within 1
without 1
woman 1
world 1
would 2
years 2
