14434701
/m/03d3fq7
/m/03d3fq7
Lin Carter
1973-07
16 1
3000 1
a 34
about 2
above 1
accessa 1
afraid 1
after 1
akhmim 1
alarm 1
alive 1
all 3
allowed 1
also 4
altruistic 1
amorphous 1
amphasand 1
an 7
and 23
animals 1
another 2
appears 1
applies 1
ardha 3
are 5
area 2
arjala 6
arts 1
as 17
asks 1
assassin 1
astute 1
at 4
attacked 1
attacks 1
attempt 1
avoid 1
away 2
awry 1
band 1
be 6
bee 1
been 3
behind 1
being 1
between 1
body 4
both 1
boy 4
branch 1
branches 1
break 1
breaking 1
brittle 1
bumblebee 1
but 5
by 11
calls 1
can 1
cannot 1
captive 1
captivedue 1
capture 1
captured 1
careful 1
causing 1
chains 2
chalk 2
chief 2
chong 1
city 6
cliffhanger 1
coins 1
comes 1
commonplace 1
component 1
compound 1
concealment 1
considers 1
constructed 1
consume 1
consumes 1
consuming 1
correct 2
correctly 1
crawlervines 1
creature 2
creatures 1
crucial 1
crystals 2
dead 3
deathfungus 1
desperation 1
did 1
die 1
dies 1
discovers 3
disobeys 1
display 1
distance 1
distilled 1
does 1
doesnt 1
doing 1
doomed 1
doors 1
dragon 2
drops 1
drugged 1
due 1
during 1
earlier 3
effect 1
elixir 5
employ 2
employment 1
energy 1
energybarrier 1
enough 1
ensure 1
enters 1
errand 1
escape 1
eunuch 3
eunuchs 1
even 1
eventually 1
except 1
experiment 1
experiments 1
exploring 1
extinction 1
eyes 1
face 1
failed 1
farasang 1
fastened 1
fears 1
feast 1
females 1
fight 2
find 4
finding 1
finds 6
flesh 1
fluff 1
fly 1
flying 1
follows 1
for 4
forbidden 1
forcing 1
formed 1
formula 2
formulated 1
formulationat 1
frequency 1
from 6
full 1
genii 1
given 1
go 1
goddess 1
goes 2
gone 1
grabs 1
greatly 1
green 2
guards 1
guided 1
guild 3
gurjan 2
had 4
hand 1
has 7
have 2
having 2
he 17
held 2
her 3
him 12
himas 1
himboasting 1
himself 1
himwho 1
his 7
house 1
huge 1
human 1
humanoids 1
hume 1
hunter 1
hutt 1
immortal 1
immortality 1
in 12
incarnation 1
including 1
indeed 1
ingredient 3
inhabitant 2
inhabited 1
injections 1
into 1
invigorated 1
is 12
it 3
its 1
jabba 1
janchan 8
job 1
justdead 1
kalood 1
kaloodha 1
karn 20
kill 2
killed 1
kills 1
klygon 4
knocking 1
know 1
knowledge 1
known 3
lacking 1
lamp 1
land 1
laonese 2
large 2
last 1
later 4
lengthened 1
light 2
lightningemitting 1
little 1
lives 1
living 1
made 2
makes 1
male 1
man 2
many 2
map 1
marauding 1
material 1
may 3
meaning 1
meanwhile 1
member 1
memories 2
men 1
mighty 1
million 1
misses 1
missing 1
misused 1
mixed 1
mortally 1
mostclosely 1
muchtortured 1
muscular 1
mutant 1
mute 1
mythical 1
name 2
named 2
nameto 1
narrator 3
narrowly 1
new 1
niamh 6
night 1
no 1
noble 1
not 7
novel 1
now 1
obese 1
obtains 1
of 36
old 1
on 5
one 3
ones 1
only 1
opportunityrecognising 1
or 5
order 1
original 1
other 1
out 5
over 1
ownwhen 1
paralyse 1
particularly 1
partly 1
partner 1
petrifying 1
phaolonian 1
phaolonwhich 1
phuol 3
planet 2
plans 2
pleased 1
point 2
poisoned 1
pool 1
positionsbut 1
possession 1
posts 1
powerjosting 1
prelude 1
present 1
pricewhile 1
process 1
produced 1
promised 1
protected 1
puts 1
quickly 1
race 1
radiation 1
raise 1
rather 1
rawhide 1
reaches 1
reasons 1
recaptured 1
received 1
reconcile 1
red 2
reference 1
releases 2
rescue 4
rescuer 3
rescues 1
rescuing 1
resembles 1
residues 1
restand 1
result 2
reveal 1
revealed 2
reveals 1
rivalry 1
rivals 1
run 1
runs 1
sacred 1
saloog 1
salves 1
sarchimus 13
savants 1
scarlet 1
scavenged 1
scientistssavants 1
scorpion 1
sealed 1
seen 2
sees 1
selftitled 1
series 1
set 2
sight 1
siona 1
skull 1
skysled 2
slow 1
so 5
soldier 1
soldiers 1
some 4
sometime 1
somewhat 1
soon 2
sotaspra 2
soul 1
spreadeagled 1
star 3
starting 1
starvation 1
statues 3
sterilised 1
stilettoand 1
stillliving 1
stinging 1
strangle 1
strengthened 1
strikes 1
such 1
swimming 1
symbol 1
taboo 1
takes 2
taking 1
tells 1
temple 2
testing 1
that 11
the 73
them 4
then 7
there 1
these 3
they 2
thinks 1
third 1
this 11
three 1
throws 1
thus 1
time 3
to 37
told 1
tor 2
toughs 1
tower 2
trains 1
treats 1
tribethe 1
trio 2
try 1
turn 1
two 1
unconsciousand 1
understand 1
unit 1
venom 2
venomkarn 1
very 2
visited 1
waiting 1
wand 1
warns 1
wars 1
was 4
well 1
were 2
when 3
where 3
whereupon 1
which 8
while 1
who 8
whose 1
will 1
winged 1
wise 1
with 8
withdraws 1
woundsonly 1
years 1
ythid 1
zaiphs 1
zarqa 9
zzumalak 1
