5390724
/m/0djq1h
/m/0djq1h
Isobelle Carmody
1998-11
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel", "/m/07lw0y": "Post-holocaust", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy"}
a 3
abilities 1
after 1
against 1
also 1
and 4
are 1
as 1
at 1
beast 1
beforetime 2
by 2
can 1
cat 1
clues 1
community 1
council 1
destroy 1
dreamtrails 1
elspeth 2
enemy 1
extraordinary 1
forced 1
future 1
govamen 1
guide 1
her 3
hidden 1
in 1
intimately 1
is 2
its 2
join 1
kasanda 1
kidnapping 1
learn 1
left 1
linked 1
longdead 1
maruman 1
mental 1
misfit 2
misfits 1
more 1
must 2
necessary 1
now 1
obernewtyn 2
of 1
one 1
only 1
out 1
past 2
protector 1
quest 2
realise 1
rebellion 1
seek 1
seer 1
she 1
stalked 1
terrifying 1
the 8
their 2
to 3
totalitarian 1
travel 1
using 1
weaponmachines 1
when 1
with 2
yet 1
