6773140
/m/0gn72m
/m/0gn72m
Elizabeth Haydon
2007-06-26
a 16
adventure 1
adventures 1
adventurous 1
after 1
agree 1
all 2
also 1
an 6
and 22
animals 1
are 2
arm 1
as 4
assigned 1
assistant 1
at 6
back 1
bad 1
be 1
before 1
best 1
bloom 1
box 2
breakfast 1
bridge 1
brilliant 1
but 2
by 4
called 3
can 2
captain 1
castle 3
char 3
charge 1
children 3
city 3
clem 1
clemency 3
closing 1
coates 3
colors 1
come 2
comes 1
commonly 1
cook 1
cookies 1
cross 1
crossroad 1
day 1
dazzled 1
deciphered 1
dormitory 1
ease 1
eaten 1
end 1
even 1
every 1
excuse 1
finding 1
fired 1
floating 1
flowers 1
folk 1
follow 1
for 1
fortuneteller 1
found 1
friend 1
friends 2
from 2
functions 1
future 1
garden 1
gated 3
gauntlet 1
gave 1
general 1
girl 1
gives 2
glowing 1
go 3
grime 1
ground 1
group 1
guild 1
gwadd 1
handy 1
hare 1
has 4
he 5
helps 1
him 7
himself 1
his 3
horrifying 2
hostess 1
husband 1
ida 4
in 8
inn 4
inside 1
insolvable 1
investigate 1
invites 1
is 11
island 1
it 5
kidnapped 1
kindness 1
king 2
kings 1
knack 1
know 1
known 2
late 1
leave 1
leaves 1
lets 1
life 1
light 1
living 2
lodge 1
look 1
madame 1
main 1
make 1
man 1
many 1
market 2
may 2
more 5
mother 1
mouse 1
mr 1
naturally 1
new 1
nick 2
not 1
of 10
official 2
officially 1
old 1
on 4
one 1
orphan 1
out 2
owner 1
packet 1
part 1
past 1
pastor 1
pick 1
plants 1
played 1
pocket 1
potential 1
raven 1
realize 1
reporter 2
returns 1
roads 1
room 1
rovers 1
ruled 1
saeli 4
same 1
secret 1
seems 1
shares 1
sharing 1
sharra 1
she 5
shines 1
shining 1
ship 1
shock 1
shops 1
shows 1
significant 1
skinny 1
solving 1
soon 2
speak 1
special 1
spice 1
spring 1
stewardess 1
stone 2
store 3
takes 1
tells 4
than 2
that 5
the 44
them 4
then 1
they 1
this 1
through 1
tiny 1
to 13
trolls 1
trudy 1
tunnel 2
unanticipated 1
under 1
up 2
useful 1
uses 1
vandemere 1
ven 10
wakes 1
waking 1
want 1
wants 1
warren 1
way 1
weapon 1
what 2
where 1
who 1
whole 1
with 8
writing 1
