3369411
/m/0981kh
/m/0981kh
Bernard Cornwell
1981-02-09
a 14
abandoned 1
above 1
affections 1
after 2
aftermath 1
against 3
alone 1
alongside 1
also 1
although 1
american 2
an 5
and 21
any 1
appear 2
are 2
aristocracy 1
armies 1
army 2
arrived 1
arrogance 1
arrogant 1
as 7
asks 1
assaye 1
assisted 1
at 3
attached 1
attempted 1
avenge 1
avoid 1
battle 4
be 2
becomes 1
been 1
begin 1
being 1
berry 4
best 1
between 1
birth 1
blow 1
both 1
brazil 1
break 1
bridge 2
broken 1
brought 1
bullying 1
by 10
can 1
cannon 1
captain 4
capture 1
capturing 2
career 1
ceremonial 1
challenge 1
christian 1
colonel 1
colour 2
combat 1
combination 1
commanded 1
commander 1
commission 1
companies 1
company 3
complexity 1
complicated 1
confirm 1
connections 1
corps 1
cowardly 1
cross 1
de 1
decide 1
description 1
disaster 1
dispatches 1
distinguishing 1
do 1
down 2
dragoons 1
drawn 1
drilled 1
during 3
dying 1
eagle 5
elementary 1
elements 2
emerges 1
enemy 2
engage 1
engineers 1
england 1
english 1
equal 1
erase 1
errors 1
essex 6
even 1
experience 1
family 1
field 1
finds 1
flank 1
flawed 1
fled 2
follies 1
following 1
for 4
form 1
four 1
france 1
fray 1
french 7
frequent 1
friend 2
from 1
fulfill 1
fullfledged 1
further 1
gazetted 1
general 1
gentlemen 1
genuine 1
gibbons 5
group 1
guards 1
had 1
hand 1
harper 1
has 2
have 1
he 4
height 2
henry 2
her 1
heroic 1
himself 5
his 14
hogan 1
honour 1
horse 1
however 1
hundreds 1
husband 1
imperial 1
in 9
including 1
independence 1
inexperienced 2
insane 1
intends 1
into 2
is 6
it 1
josefina 4
keep 1
key 1
killed 1
king 1
la 1
lacosta 1
lap 1
largely 1
lash 1
later 1
lawford 1
leadership 1
leading 1
lennox 4
leroy 1
let 1
lieutenant 3
light 2
link 1
lisbon 1
listed 1
look 1
losing 1
loss 2
low 1
loyalist 1
made 1
major 2
makes 1
making 1
manage 1
march 1
maria 1
men 1
merchant 1
mercilessly 1
mission 1
more 1
most 1
movie 1
much 2
murder 1
murdering 1
must 2
napoleon 1
nephew 1
newly 1
nighttime 1
noblewoman 1
novel 3
number 1
of 38
officer 1
officers 1
officially 1
old 1
omitted 1
on 3
one 1
only 2
or 1
out 1
own 1
parades 1
parts 1
place 1
plot 2
political 1
poor 1
poorlytrained 1
portuguese 1
prior 1
prize 1
problem 1
promotion 1
protect 1
protection 1
rallying 1
rank 1
ranks 1
raped 1
raw 1
real 2
redcoats 1
regiment 4
regimento 1
regiments 1
relationship 1
replaced 1
request 2
restored 1
results 1
returns 1
richard 2
rifleman 1
riflemen 2
rifles 1
rises 1
rivalry 1
routed 1
ruining 1
same 1
santa 1
scapegoat 1
see 1
seemingly 1
several 1
shame 1
shape 1
sharpe 19
she 1
simmerson 4
sir 2
situation 1
skirmish 2
slaying 1
small 1
so 2
soldiers 1
south 6
spanish 2
squadrons 1
standard 1
stay 1
still 2
straightforward 1
suited 1
summary 1
swears 1
tactical 1
take 2
takes 3
talavera 3
task 1
than 1
that 2
the 68
their 2
they 1
thirty 1
this 2
to 20
touched 1
town 1
training 1
true 1
turns 1
tv 2
two 3
under 1
unit 1
up 1
upon 1
use 1
valdelcasa 1
vengeance 1
version 1
veteran 2
via 1
war 1
way 1
wellesley 1
when 3
where 1
whether 1
while 2
who 3
whom 1
william 1
with 5
won 1
worse 1
wounded 1
