2661883
/m/07w5b0
/m/07w5b0
Ellen Raskin
1978
10000 1
200 1
a 2
all 1
almost 1
america 1
an 1
and 2
apartment 1
are 1
as 1
beautiful 1
building 1
challenging 1
chosen 1
clues 1
come 1
company 1
consist 1
different 1
dividing 1
each 2
eight 1
form 1
fortune 1
from 1
game 1
given 1
giving 1
hear 1
heir 1
heirs 2
his 1
in 2
incentive 1
inherit 1
into 1
is 1
lake 1
live 1
lyrics 1
michigan 1
million 1
millionaire 1
murdered 1
mysteriously 1
mystery 2
of 7
on 1
pair 1
pairs 1
paper 1
play 1
products 1
puzzle 1
sam 2
samuel 1
selfmade 1
set 1
shore 1
sixteen 2
solve 1
solves 1
somewhere 1
sunset 1
takes 1
the 12
them 1
to 4
together 1
towers 1
w 1
westing 4
which 1
who 2
whoever 1
will 3
wisconsin 1
