5833507
/m/0f81vz
/m/0f81vz
Pierre Christin
1983

114 1
115 1
117 1
118 2
120 1
121 1
13 1
130 1
137 1
138 2
145 1
146 1
148 2
15 1
151 1
152 2
156 1
157 2
163 1
167 1
168 1
185 1
185137 1
21 1
34 2
3434 1
34as 1
34bourgeois 1
34business34 1
34enormous 1
34frugal 1
34i 2
34it 1
34luxury 1
34nationalistbourgeois 1
34no 1
34one 1
34puerile 1
34so 1
34suicide34 1
34the 1
34tomorrow 1
34vasil 1
34yes 1
3luxury 1
a 68
about 2
abuses 1
accompanies 1
accustomed 1
actually 1
adjourn 1
admiration 1
affair 1
after 10
afternoon 1
again 2
against 1
agency 1
agents 1
akademgorodok 1
alcohol 1
aleksandrovi 3
all 4
ally 1
along 2
already 1
also 3
always 2
am 1
american 1
an 15
ana 1
and 80
angrily 1
animal3s 1
another 2
answers 1
any 1
apparatus 1
appeared 1
appears 1
appetizers 1
approaches 1
approved 1
are 6
argument 1
arguments 1
aristocracy 1
arrested 3
arrive 2
arrived 1
arrives 1
arriving 1
art 1
as 18
asks 1
aspects 1
at 10
atrocities 1
attending 1
august 2
authorities 1
avanidze 8
away 2
back 1
bad 1
badly 1
bar 1
basement 1
bathing 1
be 3
beak 1
bear 1
beast 1
beaten 1
beautiful 1
because 2
become 2
becoming 1
bed 2
bedroom 1
been 4
before 2
begins 2
behind 2
being 2
belches 1
bent 1
better 1
better34 1
between 7
beware 1
big 1
bilal3s 1
biographies 1
bleeding 1
blonde 1
blood 3
bloodthirsty 1
blunder34 1
boar 4
board 1
boczek 21
boczek3s 2
bolshevik 1
book 2
border 1
born 8
both 2
brand 1
breasts 1
briefly 1
brilliant 1
bring 1
brought 1
budapest 1
bulgaria 2
but 10
by 11
cabinet 2
cadres 1
call 1
calling 1
capitalist 1
car 3
case 1
casualties 1
caviar 1
central 3
challenges 3
change 1
character 5
characters 1
charge 1
charges 3
cheka 1
chess 2
child 1
childhood 1
chimneys 1
chosen 2
christin 1
claw34 1
climbing 1
coincidentally 1
collective 1
come 1
comecon 1
comfortable 1
comintern 1
committee 3
commonwealth 1
communism 1
communist 8
comrades 1
comrades3 1
concept 1
concerning 1
conference 1
constantly 1
contentedly 1
conversation 2
coolly 1
could 1
countries 2
country 5
country3s 1
countryside 1
coup 1
creatures 1
crying 1
culture 1
curtain 1
cynical 1
cynically 1
czaszyn 1
czech 1
czechoslovakia 3
dangerous 1
danube 2
dark 1
darkest 1
day34 1
de 1
dead 2
deadly 1
death 1
deaths 1
debark 2
debt 1
decadent 1
decided 1
decor 1
decorated 1
deer 2
delicacies 1
delta 2
democrat 1
depart 1
departure 1
describe 1
destination 1
destined 1
destroying 1
detained 1
detainment 1
did 1
died 1
dignitaries 1
dimitrov 2
dinner 4
dip 1
dire 1
disappeared 1
disapproves 1
discuss 1
discussed 1
discusses 1
discussion 1
disgrace 3
disgraced 1
dismissing 1
displayed 1
displays 1
dissidents 1
distance 1
dive 1
do 2
does 2
dome 1
dramatis 1
dream 1
drink 1
drinks 1
dripping 1
driving 1
drunken 1
dtat 1
dubek 1
during 4
duties 1
each 2
earlier 1
east 2
eastern 2
eliminated 1
embarrassment 2
embracing 1
empire 1
ends 1
enemies 1
