16250456
/m/03wf0lb
/m/03wf0lb
Sue Grafton
1985
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 13
able 1
account 1
affair 1
after 2
agreed 1
agrees 1
along 1
alphabet 1
also 1
although 1
an 3
and 13
anywhere 1
apartment 4
apparently 2
appears 1
applied 1
are 1
arm 1
arrived 1
as 7
assistance 1
assumed 1
at 1
attraction 1
aubrey 1
back 1
be 1
becomes 1
been 2
before 2
begins 1
between 2
beverly 7
bills 1
boca 3
body 1
boldt 1
breaks 1
burglars 1
but 7
by 3
cab 1
california 1
called 1
calls 1
can 2
case 1
claim 1
claims 1
come 1
complicates 1
concerned 1
confesses 1
convinced 1
cop 1
cosmetic 1
could 1
country 1
criminals 1
danziger 1
dead 2
dealer 1
death 1
dental 1
departed 1
despite 1
detain 1
detective 1
died 1
disappearance 4
disappeared 2
discovered 1
discovers 1
discrepancy 1
does 1
down 1
driving 1
drug 1
during 1
easy 1
elaine 23
elderly 1
ensues 1
eventually 1
eye 1
false 1
fight 1
find 4
fire 2
florida 4
flying 1
for 7
forced 1
forward 1
from 3
further 1
get 1
getting 1
goes 1
gravely 1
grice 5
grices 1
had 2
hand 1
has 3
have 3
having 2
he 2
help 2
her 12
herself 1
him 1
hired 1
his 1
holding 1
home 4
however 1
husband 3
identity 1
if 1
in 8
increasingly 1
inheritance 1
installment 1
instead 1
intention 1
into 2
investigator 1
involved 2
involvement 1
is 11
it 4
jonah 1
julia 2
keep 1
killed 2
kinsey 15
last 1
left 2
let 1
licence 1
link 1
lived 1
locate 1
look 1
manages 1
marty 7
matter 1
matters 1
meets 1
mike 1
millhone 1
missing 2
money 1
much 1
murder 2
mysteries 1
name 2
needed 1
needs 1
neighbour 2
nephew 1
new 1
night 1
no 2
not 3
now 1
objects 1
of 9
off 2
on 6
one 2
out 1
paperwork 1
passed 1
passport 2
pat 7
persons 1
pi 1
police 2
postcard 1
private 1
proving 1
raton 3
ready 1
realises 2
received 1
recentlyseparated 1
records 1
regarding 1
relationship 1
relatively 1
reluctant 1
reported 1
reports 1
returns 1
rings 1
robb 1
safety 1
santa 2
searches 1
second 1
secures 1
seem 1
seems 1
seen 1
set 1
she 11
shot 1
should 1
since 1
sister 1
skip 1
so 4
some 3
someone 2
spends 1
starts 1
steal 1
straightforward 1
sublet 1
suggests 1
supervisor 1
supposed 1
sure 1
surgery 1
suspects 1
switching 1
take 1
teenage 1
teresa 2
terminates 1
that 9
the 29
their 1
then 2
there 2
they 3
thief 1
things 2
this 1
through 1
thus 1
tilly 2
times 1
to 25
told 1
totally 1
trace 1
track 1
trashing 1
travelling 1
trip 1
turns 1
two 1
unable 1
usher 5
violently 1
visit 1
wait 1
was 8
way 1
weapon 1
week 1
what 1
where 2
which 4
while 3
who 4
whose 1
winters 1
with 3
woman 1
wonder 1
working 2
