1493811
/m/025rwbp
/m/025rwbp
Sergey Lukyanenko

10nbspkm 1
20aged 1
30 2
a 11
abilities 2
able 2
about 1
access 1
activist 1
adults 1
after 2
against 1
alien 1
all 7
almost 1
also 2
although 1
am 1
an 3
and 20
another 1
apartment 1
applied 1
approval 1
are 3
armed 1
as 1
asks 1
at 1
be 3
beautiful 1
because 1
become 1
becomes 4
being 3
beliefs 1
benefits 1
betray 1
bloody 1
book 1
but 12
by 2
called 1
can 1
cant 1
carefully 1
ceases 1
comes 1
connected 1
corporate 1
country 1
critical 1
customs 1
daily 1
death 4
devastated 1
die 3
different 1
dima 2
disappear 1
disobedience 1
doesnt 1
dog 1
dont 1
door 2
doors 1
duology 1
each 1
earth 1
easier 1
elites 1
encounters 1
ending 1
enhance 1
enjoys 1
environments 1
erased 1
even 2
everybody 1
exactly 1
excellent 1
extreme 1
faces 1
falls 1
few 1
fighting 2
files 1
filled 1
find 1
first 1
foolishness 1
for 7
forgets 1
forgive 1
former 1
from 4
functional 2
functionals 4
future 2
gained 1
genuine 1
girl 2
group 1
handle 1
has 2
hating 1
have 1
he 7
her 2
hero 1
him 4
his 8
home 1
horrors 1
i 2
idea 1
ideas 1
ids 1
if 2
immortal 1
in 7
information 1
informs 1
inside 1
invited 1
is 10
it 8
just 1
justifying 1
kids 1
kirill 9
kirril 2
lags 1
last 1
later 1
laws 2
leading 1
leads 1
learn 1
life 2
lives 1
living 1
locked 1
loud 1
love 1
lovely 1
making 1
manifests 1
may 1
meets 2
mistakes 1
moscow 2
most 1
mostly 2
motherland 3
moves 3
murders 1
my 1
natalie 3
national 1
new 1
no 2
nobody 2
nodded 1
nonsense 1
not 3
number 2
of 18
officer 1
offices 1
old 1
on 1
once 1
one 5
only 1
open 1
opened 2
opposition 1
or 2
other 5
our 2
paid 1
parents 1
pass 3
people 6
person 1
phoned 1
place 1
planet 1
politician 1
poses 1
predicted 1
presentday 1
prestige 1
profession 1
proposed 1
rather 1
ready 1
real 1
remains 2
restored 1
resurrect 1
returning 1
revealed 1
reverse 1
revolution 1
rhetoric 1
ridiculous 1
rigidly 1
rulers 1
russia 1
said 2
say 2
second 2
seem 1
seems 1
serve 1
she 1
similar 1
smiling 1
so 1
societies 1
some 2
sometimes 1
special 1
starts 1
story 2
strength 1
study 1
superhuman 1
supernatural 1
system 1
taxes 1
than 1
that 2
the 21
their 2
them 3
themselves 1
there 2
these 2
they 5
this 7
through 1
thus 1
to 18
tower 4
troubles 1
unable 1
underground 3
untouched 1
upon 1
war 1
water 1
we 1
were 1
what 1
when 1
which 3
while 2
who 3
will 3
with 5
within 1
words 1
working 2
world 8
worlds 5
years 2
yet 2
younger 1
