22647105
/m/05zt6k8
/m/05zt6k8
Li Ju-chen

684 1
705 1
a 3
after 1
again 1
against 1
all 2
allowed 1
along 1
also 1
an 2
and 12
ao 5
aos 1
are 2
as 2
at 1
away 1
back 1
be 2
become 2
binds 1
bloom 1
body 1
book 1
brotherinlaw 1
brothers 1
but 1
by 6
can 1
chungtsung 2
coil 1
complete 1
countries 1
country 5
cultivating 1
daughter 1
decides 1
demands 1
destiny 1
difficulties 1
disappearance 1
disappears 1
doing 2
dream 1
during 2
dynasty 1
earth 2
emperor 3
empress 4
enables 1
examinations 1
fair 1
fairy 1
father 1
fear 1
finds 1
flowers 3
flowerspirits 3
follow 1
for 3
foreign 1
freeing 1
from 3
gentlemen 1
given 1
go 3
gods 1
goes 1
had 1
half 1
having 2
he 2
head 1
heaven 1
helps 1
her 5
high 1
him 4
himself 1
his 6
hundred 1
husbands 1
immortal 2
imperial 1
in 8
incarnated 2
incarnation 1
intestineless 1
is 6
journey 2
junk 1
leaves 1
lets 1
lies 1
lin 1
little 2
live 1
look 1
lowest 1
many 1
merchant 1
mirror 1
morning 1
mortal 1
mountain 1
next 1
obtain 1
of 17
on 2
once 1
one 1
orders 1
other 1
overseas 1
overthrow 1
own 1
part 2
parts 1
penance 1
penglai 2
people 3
plotting 1
power 1
punished 1
punishment 1
rank 2
rebellion 1
reign 1
reigned 1
resolves 1
responds 1
restoring 1
rise 1
rule 1
scholarly 1
second 1
set 1
sexless 1
she 3
so 5
son 1
soul 1
spirit 1
strife 1
suspects 1
take 1
takes 1
tang 10
tao 1
that 4
the 33
their 3
them 1
then 2
they 3
this 1
throne 2
to 14
told 1
took 1
travels 1
tsetien 1
twelve 1
twofaced 1
up 1
well 1
which 1
who 1
will 1
with 4
women 2
wu 3
wus 1
zetian 1
zhongzong 1
