3088913
/m/08qnjx
/m/08qnjx
Gore Vidal
1964
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 20
abandoned 1
ability 1
about 2
abrasive 1
accession 1
account 1
administrative 1
admired 1
advisor 1
advisors 2
affair 1
affect 1
afoot 1
after 3
again 1
against 3
agreeable 1
aide 1
alamanni 1
also 2
always 1
among 2
an 2
anabasis 1
and 57
anecdote 1
anonymous 1
another 1
any 1
apocalypse 1
apparent 2
are 2
arguments 1
arianism 1
armor 2
army 2
as 13
asked 3
asks 1
assume 1
assurance 1
at 3
athens 1
attack 2
attempted 2
attempts 2
audiences 1
augustus 2
awaits 1
back 2
backcountry 1
basil 1
battle 1
battles 1
be 4
become 1
becomes 2
been 1
before 1
began 1
begging 1
begin 1
begins 1
being 2
belongings 1
benefactor 1
best 3
between 4
biography 1
block 1
bloodlessly 1
body 1
book 2
breaking 1
brightest 1
bring 1
bringing 1
broken 1
brutality 1
but 2
by 14
caesar 2
caesarea 1
callistus 11
calls 1
camp 1
campaign 4
capabilities 1
causing 1
cedes 1
censorship 1
charnelhouses 1
child 1
childhood 1
chillingly 1
christian 8
christianity 5
christians 3
chrysostom 2
church 3
churches 1
citing 1
city 2
civic 1
claimed 1
claims 2
clashes 1
classical 2
clergy 1
closes 1
closing 1
coconspirators 1
coffers 1
collapse 1
comes 1
coming 3
command 1
commentary 1
concerns 1
confirmed 1
conflict 1
confront 1
considering 1
consists 2
constantine 2
constantius 9
continuing 1
control 1
conversation 1
correspondence 2
could 1
course 1
court 1
cousin 1
cruelty 1
ctesiphon 1
culture 1
dated 1
day 3
death 7
deathcult 2
debate 1
debauchery 1
decisive 1
decreed 1
defeated 1
defeating 1
delusion 1
denied 1
departs 1
destroy 1
detail 1
detailing 1
details 1
develop 1
diary 2
did 2
dies 1
direct 1
disaster 1
dishonest 1
dispatches 2
disturbed 1
do 1
dogma 1
drag 1
drunken 1
during 3
dying 1
early 2
eastern 1
efforts 1
elevate 1
embraces 1
emperor 7
emperors 1
empire 5
end 2
ends 3
engagement 1
entries 1
eroding 1
eschewing 1
eunuchs 1
even 2
eventually 1
everincreasing 1
every 1
evident 1
executed 1
exile 1
expectations 1
experiences 2
expresses 1
extension 1
extreme 1
extremely 1
face 1
faith 1
family 1
fatal 1
father 1
fathers 1
fears 1
female 1
field 1
fight 1
finally 1
first 2
food 1
for 7
form 1
formative 1
former 1
forms 1
friend 1
from 9
gallus 2
gaul 1
geographic 1
germans 1
given 1
giving 1
goths 1
grasp 1
great 1
greatest 1
gregory 1
had 3
halfbrother 2
handson 1
has 2
hate 1
hated 1
have 2
he 15
headstrong 1
health 1
heir 1
helena 1
hellenistic 2
here 3
him 1
himself 2
his 31
hope 1
hopes 1
how 1
however 1
hypocrisy 1
i 1
identity 1
ii 4
ill 1
illomened 1
implies 1
in 17
including 2
indeed 1
influence 1
information 1
initially 1
inquisition 1
insecurity 1
intellectual 1
intellectualism 2
interest 1
into 1
intolerance 1
irritated 1
is 11
isolate 1
it 5
its 1
jewish 1
john 4
journey 2
jovian 2
julian 44
keep 1
kept 1
kill 2
killed 2
killer 1
know 2
known 1
knows 2
lamenting 1
lamp 1
last 1
later 1
lay 1
leave 1
leaves 1
legendary 1
letter 1
libanius 12
libraries 1
life 2
light 1
likening 1
limitations 1
line 1
literature 1
long 1
love 1
loyalty 1
macrina 1
made 2
man 1
manic 1
many 1
marks 1
matures 1
may 1
means 1
meets 1
members 1
memoir 5
mesopotamia 1
military 2
mithraism 1
morbidly 1
more 2
mortally 1
motivated 1
mutiny 1
mystery 1
name 1
narrative 1
narrator 1
natural 1
nature 1
nazianzus 1
near 1
negative 1
no 2
nominal 1
nonchristian 1
nonetheless 1
nonintellectual 1
not 3
novel 7
of 54
off 1
office 1
officers 3
official 1
oil 1
old 1
on 10
one 1
onedimensional 1
only 2
opportunity 1
or 1
oribasius 1
originally 1
other 1
out 2
outline 1
over 3
overwhelming 1
own 3
pagans 1
pantheon 1
paranoia 2
part 1
permission 1
persian 3
personal 1
personally 1
philosopher 1
philosophy 1
physician 1
picking 1
place 2
plot 2
politically 1
popular 1
portions 1
possesses 1
powerful 1
prays 1
prechristian 1
presses 1
prevent 1
priscus 11
prophecy 1
prophetically 1
proscription 1
prosperity 1
publish 1
published 1
purged 1
purple 2
question 1
reaching 1
reality 1
realizes 1
realworld 1
reason 2
rebellion 1
reclaim 1
recounted 1
recounts 1
referring 1
reflections 1
reforming 1
reforms 1
region 1
reign 1
relates 1
relative 1
relegating 1
relics 1
religion 6
religions 2
religious 1
relying 1
removal 2
replacement 1
responded 2
responds 1
response 1
rest 2
restoration 1
restoring 1
return 1
returns 1
reverence 1
rhetoric 1
rifles 1
rift 1
rioting 1
rode 1
role 2
roman 9
rome 2
rushes 1
sacked 1
safe 1
safety 1
sassanid 2
satisfy 1
saving 1
saw 1
scorchedearth 1
secretly 1
sects 1
see 1
seeing 1
seeking 1
sees 3
seizes 1
sending 1
sermon 1
settling 1
several 2
short 2
show 1
significant 2
simpleminded 1
simply 1
sister 1
slightly 1
so 2
soldiers 2
solemn 1
some 1
somewhat 1
sophisticated 1
soul 1
source 1
spear 2
spite 4
spread 1
stabbing 1
stability 1
stage 1
state 1
steadily 1
story 1
straps 2
strasbourg 1
student 1
students 1
study 1
subsequent 1
subsequently 1
succeeded 1
success 1
successful 2
successor 2
such 1
suspecting 1
tactics 1
take 1
takes 2
taking 1
tale 1
teachers 1
teaching 1
temple 1
temporary 1
territory 2
that 16
the 97
their 3
them 1
theodosius 4
there 1
thirty 1
this 4
though 1
throne 1
through 1
throughout 1
thusly 1
thwarting 1
time 1
title 2
to 39
told 1
took 1
traditional 3
traditionalists 2
trinitarian 1
triumph 1
true 1
turningpoint 1
two 1
under 3
undertakes 4
until 1
upon 3
vague 1
vaguely 1
vidal 1
violence 2
vision 1
visiting 1
was 5
water 1
way 1
well 1
welldocumented 1
were 2
what 1
when 2
whether 2
which 3
who 7
whom 2
whose 1
widespread 1
wife 1
will 1
