11290580
/m/02r6jc0
/m/02r6jc0
Václav Havel

a 4
able 1
about 1
absurd 1
adaptive 1
adjust 1
all 1
also 1
among 1
an 2
and 5
anything 1
appointment 1
are 1
argue 1
arrange 1
as 2
at 1
attitudes 1
average 1
be 1
become 1
becomes 1
behaviour 3
between 1
bureaucratic 1
but 1
career 1
central 1
changed 1
chose 1
clich 1
clichs 1
comes 1
committee 1
communist 1
completely 1
conform 1
contentfree 1
created 1
creativity 1
culture 1
czech 1
czechoslovak 1
degenerated 1
do 1
does 1
dont 1
drawn 1
during 1
encounters 1
ends 1
era 1
expected 1
family 1
finally 1
find 1
for 1
from 2
functionaries 1
future 1
gain 1
garden 1
has 1
he 2
head 1
him 2
himself 1
his 6
home 1
hugo 5
identity 1
ideological 1
in 3
inauguration 1
individuality 1
influential 1
instead 1
intelligent 1
is 5
kalabis 2
language 1
learns 1
liquidation 3
loses 1
many 1
material 1
may 2
mean 1
middleclass 1
mr 1
much 1
new 1
newly 1
not 2
of 9
office 2
one 1
over 1
own 1
parallels 1
parents 2
party 1
person 1
platitudinally 1
play 2
pludek 1
population 1
promoted 1
protagonist 2
pursuit 1
real 1
recognise 1
regime 1
result 1
role 1
sequence 1
so 2
speak 2
starts 1
system 1
that 4
the 17
their 1
therefore 1
they 1
this 1
to 4
using 1
when 1
who 2
with 1
worried 1
