4959546
/m/0cx5hc
/m/0cx5hc
Mordecai Richler
1997
{"/m/05hgj": "Novel"}
acquitted 1
alzheimer 1
an 2
and 3
are 1
as 2
at 2
autobiography 1
barney 4
be 1
body 1
boogie 1
book 1
but 1
by 3
corrections 1
detail 1
diagnosed 1
disappearance 1
disease 1
edited 1
end 2
events 1
explaining 1
explanation 1
footnote 1
for 1
friend 1
from 1
given 1
he 1
himself 1
his 6
if 1
in 2
is 7
it 1
lapses 1
life 1
marriages 1
may 1
memory 1
mental 1
michael 1
murder 2
mysterious 1
mystery 1
narrators 1
no 1
novel 1
of 6
panofsky 1
police 1
posthumously 1
previous 1
recollections 1
recounting 1
son 2
states 1
story 2
suspect 1
that 2
the 7
then 1
there 1
though 1
three 1
told 1
tried 1
two 1
underlying 1
unreliable 1
varying 2
version 1
viewed 1
with 1
written 1
