33074309
/m/0h698m5
/m/0h698m5
KL Going

{"/m/03mfnf": "Young adult literature"}
26 1
61 1
a 4
abuse 1
acceptance 1
addiction 1
although 1
an 1
and 5
band 2
billings 1
cant 1
contemplating 1
create 1
curt 4
desperately 1
drug 1
drums 3
edge 1
favor 1
finds 1
for 1
former 1
from 2
gig 1
goes 1
grade 1
hasnt 1
he 5
him 1
his 1
homeless 1
in 1
insists 1
intervenes 1
into 1
is 3
life 2
mccrae 1
now 1
of 1
on 1
only 1
owes 1
platform 1
play 2
playing 1
pounds 1
practicing 1
problem 1
process 1
ragetectonic 1
realizing 1
right 1
save 1
saved 1
school 1
selfconfidence 1
seventh 1
since 1
so 1
standing 1
start 1
student 1
subway 1
suicide 1
tells 1
that 3
the 4
they 1
to 2
together 2
troy 7
trying 1
unable 1
upcoming 1
weighing 1
when 1
while 1
with 1
