1370269
/m/04xcvg
/m/04xcvg
Robin Cook
1990
{"/m/01jfsb": "Thriller", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
18month 1
a 25
able 1
about 3
after 1
again 1
age 1
agent 1
agrees 1
alien 1
all 1
allergies 1
alone 1
also 3
altered 2
alternate 1
amazed 1
an 7
analyzed 2
and 25
announce 1
annoyance 1
another 2
antibiotic 3
are 1
artificial 2
as 4
at 6
attempt 1
babies 1
baby 1
back 2
be 2
beat 1
because 2
been 4
begin 1
begins 1
begun 1
believe 1
believes 1
beyond 1
biochemical 2
blue 1
boek 1
bomb 2
born 1
both 4
brain 1
brains 1
break 1
brings 1
brother 1
built 1
but 3
by 4
called 1
campus 1
can 1
cancer 2
causes 3
causing 1
cell 1
cephaloclor 1
chain 1
child 4
children 4
chimera 3
chromosome 1
clinic 1
clock 2
cocaine 1
coli 1
colombian 1
come 1
company 1
conception 1
conditions 1
conscience 1
convinces 2
cost 1
created 1
daughter 2
david 2
day 1
deadly 1
dealers 1
deaths 1
decide 1
decides 1
despite 1
did 2
didnt 1
die 2
differently 1
disastrous 1
discovering 1
dna 3
do 1
dont 1
down 1
drop 1
drug 1
drugs 1
due 1
e 1
edema 1
egg 1
eggs 2
eleven 1
end 1
especially 1
events 1
eventually 1
exit 1
experience 1
experiences 1
experiment 2
explanation 1
eyes 1
fact 2
factor 1
failed 2
failure 1
families 1
fertility 1
fetus 1
fetuses 1
fifth 1
finance 1
finds 2
fine 1
five 1
floods 1
follows 1
for 6
forever 1
form 1
frank 1
from 3
full 3
gates 1
genetically 1
genius 4
getting 1
given 2
gives 1
go 1
goes 2
got 1
grow 2
growing 1
growth 2
guard 3
had 9
has 4
have 4
having 1
he 21
head 1
help 1
her 8
him 9
his 16
holds 1
horrified 1
horrifying 1
hostage 1
house 1
how 1
however 1
husband 1
ice 1
identical 1
implantation 1
implanted 2
in 14
inc 1
inexplicably 1
infertility 1
injected 2
injecting 1
injects 1
insist 1
insists 2
intelligence 1
intelligent 2
intent 1
into 5
investigation 1
ironically 1
is 16
it 1
janice 2
joe 1
journal 1
kill 3
killed 2
killing 2
knocked 1
lab 8
laboratory 1
large 1
later 3
launches 1
leading 2
leads 2
leave 1
lies 1
life 2
liver 1
lives 1
looking 1
lot 1
made 1
make 1
makes 1
making 2
many 1
marsha 13
may 1
meanwhile 1
medical 1
mentally 1
method 2
mind 1
months 1
more 2
mother 2
must 2
nanny 2
nerve 2
neurological 1
neurons 1
next 1
ngf 4
nightmare 1
nitroglycerin 2
nlmanipulatie 1
no 2
not 2
nothing 1
obstetriciangynaecologist 1
of 19
off 1
office 1
old 1
older 1
on 4
one 3
only 2
ordinary 1
other 2
out 3
owner 1
parents 3
part 1
personality 1
plants 1
point 1
problems 1
process 1
produce 1
prying 1
psychiatrist 1
psychological 1
rare 1
reacts 1
read 1
reading 1
real 1
realizes 1
reason 1
redirecting 1
reflect 1
release 2
rest 1
result 1
results 2
retarded 1
reveals 3
river 1
room 2
rushes 3
same 1
secluded 1
second 1
seem 1
seems 1
sees 1
sequenced 1
several 1
she 4
show 2
showing 1
six 2
skulls 1
so 3
sold 1
solve 1
solved 1
someone 1
something 1
son 4
spends 1
stalls 1
stay 1
still 1
stops 1
strand 1
strength 1
super 2
surmises 1
surrogacy 1
suspicious 1
synthesizes 1
takes 1
talk 2
tanks 1
teacher 1
teenage 1
tells 1
tenyearold 1
tests 1
than 2
that 13
the 47
their 7
them 9
then 5
there 3
they 7
think 1
thirteen 1
this 5
three 2
through 2
time 1
times 1
to 33
told 1
too 1
tower 2
trait 1
trying 1
tumors 2
tunnel 1
turn 1
turns 1
two 6
unable 1
under 2
unexplainable 1
until 2
up 1
used 1
usual 1
victor 20
vj 28
vjlike 1
wakes 1
was 1
well 1
were 2
when 3
where 3
which 4
who 5
wife 2
will 1
with 6
womb 1
wombs 1
wont 1
work 2
workup 2
worried 1
worry 1
would 1
years 3
zygote 1
