564374
/m/02qhx7
/m/02qhx7
Sidney Sheldon
1998
{"/m/01jfsb": "Thriller"}
a 14
about 1
abused 2
accepted 1
advocate 1
afraid 1
again 1
alette 5
aletterepresents 1
all 3
along 1
already 1
also 1
alter 9
alters 2
among 1
amount 1
an 5
and 24
anger 1
another 1
anything 1
apartment 1
are 3
arrested 1
artist 1
as 4
ashley 15
assaulted 1
assigned 1
asylum 4
at 1
attorney 1
attracted 1
be 1
because 2
becomes 2
been 1
before 1
being 3
believes 1
between 1
book 1
both 1
breached 1
broken 1
but 2
by 3
calming 1
cases 1
castrated 1
cause 1
caused 1
characters 1
child 1
childhood 1
christmasin 1
comfort 1
committed 1
complete 1
conditions 1
console 1
convinced 1
could 1
course 1
court 1
coworkers 1
creation 2
crisis 1
criticizes 1
cured 1
dancer 1
daughter 1
day 1
dead 1
deals 1
detest 1
develop 2
develops 2
die 1
disarray 1
dislikes 1
disorder 2
dissimilar 1
dissociative 1
do 1
doctor 4
drains 1
during 3
duty 1
effects 1
encountered 1
end 2
endless 1
enraged 1
escort 1
events 1
every 1
everyday 1
everything 1
evidence 1
exhibiting 1
fate 1
father 6
fear 1
fears 1
feeling 1
feels 1
finally 2
finds 1
first 1
following 1
for 3
found 2
friend 1
friendship 1
from 4
front 1
generally 1
get 2
gift 1
gilbert 4
girl 1
go 1
good 1
had 2
half 1
hamptons 2
harshly 1
has 4
hatred 1
have 2
having 2
he 4
helpless 1
her 30
him 1
horrific 1
house 2
however 1
identical 1
identified 1
identity 1
in 10
influence 1
innocent 1
insane 1
interesting 1
into 3
introduced 1
introduces 1
introverted 1
involved 1
is 19
issues 1
it 2
italy 1
kill 2
killer 1
last 1
later 1
leads 1
life 1
lights 1
lipstick 1
living 1
love 1
made 1
main 1
maintain 1
making 1
marry 1
maturity 1
men 3
mind 1
mirror 1
morning 1
mother 1
motherly 1
mothers 1
mpd 2
multiple 1
murdered 3
murderous 1
murders 1
natures 1
never 1
news 2
next 1
not 2
novel 2
of 18
officer 1
on 3
once 1
one 3
only 1
opposing 1
or 1
other 1
out 2
outgoing 1
pain 2
part 1
passing 1
pattern 1
patterson 1
personal 1
personality 1
persuades 1
peters 1
piano 1
place 1
point 1
points 1
police 2
prescott 1
protective 1
psychiatrists 1
rapport 1
real 1
releases 1
relives 1
represent 1
represents 1
requests 1
returns 1
revealed 2
same 1
saw 1
second 2
selves 1
sex 1
sexual 1
sexually 2
shame 1
shattered 1
she 13
show 1
showing 1
shown 1
shows 1
shy 1
side 1
similar 1
since 1
singer 1
so 1
softer 2
somebody 1
someone 2
source 1
squabbling 1
staying 1
stayingto 1
strong 1
structuring 1
struggle 1
suddenly 1
suffer 1
suffering 1
taken 1
teacher 1
teenage 1
that 8
the 39
their 2
them 1
therapy 1
therefore 1
they 1
theyd 1
thing 1
things 1
thinks 1
this 5
three 5
threeyearold 1
thus 1
to 16
told 1
toni 12
toniand 1
too 1
towards 1
train 1
traveling 1
treated 1
trial 1
turned 1
two 2
up 1
very 2
violent 2
wants 1
warmth 1
was 7
well 1
were 1
when 7
where 1
whether 1
while 1
who 2
will 1
with 8
without 1
woman 3
women 2
work 1
workaholic 1
would 1
written 1
you 1
