22849170
/m/063zmpn
/m/063zmpn
Richelle Mead
2007
{"/m/02vzzv": "Urban fantasy", "/m/03mfnf": "Young adult literature", "/m/01qxvh": "Romance novel", "/m/0fq56vk": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/072lff": "Paranormal romance", "/m/04n87l": "Dark fantasy"}
34 1
a 43
able 1
about 4
accosted 1
achilles 1
adorable 1
advance 1
after 5
again 2
against 1
age 1
agree 2
agreed 1
agrees 3
all 7
allowed 1
allows 2
almost 2
along 1
already 1
also 3
although 1
always 2
an 4
and 78
angel 5
angered 1
another 2
answer 1
anything 2
apart 1
are 5
area 1
around 2
arrives 1
as 5
asked 1
asks 1
assistant 1
assures 2
at 9
attacked 3
attracted 1
author 1
avid 1
avoid 1
away 4
awful 1
awkwardness 1
back 3
bad 1
band 1
bargained 1
battle 2
be 9
beat 1
because 9
beckons 1
become 2
before 1
beginning 1
being 1
believing 1
belongs 1
better 1
birth 1
bond 1
book 7
books 1
bookstore 1
boss 3
bosses 2
both 1
boyfriend 1
breaking 1
breaks 1
but 19
by 9
call 4
called 1
calls 2
can 4
cant 1
car 2
care 2
careful 1
cares 3
carter 11
character 1
check 1
checks 1
child 1
city 1
co 1
coffee 1
come 2
comes 2
comfort 1
comments 1
complete 1
concert 1
confused 2
considers 1
conversely 1
copies 1
copy 1
corrupting 1
could 1
cover 1
cries 1
crowd 1
crush 1
crystals 1
dancing 1
danger 1
date 5
dates 1
day 4
deal 1
decided 1
decides 1
deeply 1
demon 2
demoness 1
demonic 2
desire 1
did 2
didnt 1
dies 1
distraction 1
do 2
does 1
doesnt 4
dont 1
door 1
doug 2
doughnuts 1
dougs 1
down 1
drains 2
drawn 1
driven 1
drunk 1
duane 3
due 1
during 1
dying 1
each 1
earlier 2
emails 1
embarrassed 1
employee 1
encounter 1
end 2
ends 1
energy 3
enjoy 1
entertainment 1
erik 2
even 2
eventually 1
everyone 1
everything 1
exchange 1
exciting 1
expressing 1
fan 1
fantasy 1
favor 1
favorite 1
feelings 1
feels 1
felt 1
fight 1
fights 1
find 5
finding 1
finds 8
first 1
flash 1
flirt 1
flirting 2
flirts 1
followed 1
fond 1
for 14
force 4
friend 4
friends 2
from 9
future 1
georgina 10
georginas 1
get 3
gets 8
give 1
gives 1
go 2
goes 6
going 1
good 2
got 2
grabs 1
great 1
growing 1
guy 1
hair 1
hangover 1
hard 1
has 15
hate 1
hates 1
have 2
he 37
head 1
heavy 1
helena 4
helps 1
her 63
herself 1
high 1
him 28
himself 4
his 16
hold 1
home 3
hope 1
hot 1
house 2
how 1
however 3
hugh 3
human 2
hurt 4
i 2
idea 1
ideas 1
if 4
ignore 1
immoral 1
immortal 3
immortals 4
imp 1
impale 1
in 20
including 1
injured 1
instead 1
interrupted 1
into 3
intoxication 1
invisible 1
is 38
isnt 1
it 5
its 1
jerome 9
job 1
just 4
keep 2
keeping 1
kill 2
killed 4
killer 1
killing 5
kills 2
kincaid 1
kind 1
kiss 2
kisses 1
knew 1
know 4
knowing 1
knowledge 1
late 1
later 1
leading 1
learn 1
leave 2
leaves 2
leaving 1
left 1
less 1
lesser 1
lets 1
life 7
light 1
like 2
likes 2
live 1
lived 1
local 1
long 1
looking 1
looks 1
love 1
loved 2
loves 3
low 1
make 2
makes 1
man 7
manager 2
means 1
meanwhile 2
meet 2
meetings 1
memories 1
memory 1
men 2
moment 1
more 3
morning 2
mortal 2
mortensen 2
most 1
much 2
must 1
named 2
needs 2
nephilim 9
nervousness 1
new 2
next 3
night 3
not 3
note 2
notes 2
now 1
number 1
nursing 1
nymph 1
obsession 1
of 23
off 5
office 1
often 1
old 1
on 8
one 6
only 2
opened 1
order 1
other 1
out 6
outfit 1
over 4
overdue 1
own 1
owner 1
paige 2
passes 1
patience 1
peleus 2
people 1
persistent 1
phone 1
point 1
power 1
probably 1
prove 1
psychic 2
pulled 1
questions 2
reading 1
realizes 7
really 6
recovered 1
refuses 2
reject 1
research 1
returns 1
roman 11
run 2
runs 1
safe 2
safety 1
same 2
save 1
saved 1
saw 1
say 1
saying 2
says 2
sea 1
sees 1
selfcontrol 3
selfdefense 1
sell 1
sending 1
series 1
seth 18
several 1
sex 4
shape 2
she 102
shift 3
shifting 1
shocked 1
should 1
shoulder 1
show 2
shows 1
sick 1
signing 3
since 1
sister 2
sit 1
slave 1
sleep 2
so 12
some 2
someone 1
something 1
soul 1
speech 1
starts 2
state 1
stay 3
stays 1
still 2
stopped 1
store 9
stores 1
story 1
stranger 2
struggle 1
stunned 1
succubus 2
sucks 1
sure 1
survive 1
system 1
tail 1
take 2
taken 1
takes 3
talking 2
tamed 1
target 1
tell 3
telling 1
tells 9
tender 1
that 40
the 62
their 2
them 2
then 10
there 1
thetis 2
they 18
things 1
think 4
thinks 2
this 1
those 1
thoughts 1
threatened 1
through 3
throwing 1
time 3
to 65
together 4
told 1
too 1
took 1
touch 1
touched 1
towards 1
tricks 1
tries 6
truth 2
try 1
trying 1
turning 1
turns 1
twin 1
until 2
up 8
vampire 1
very 2
vibes 1
virgin 1
volunteers 1
walk 1
walks 1
want 2
wants 4
warren 1
was 5
way 1
we 5
weak 1
weakened 1
week 1
weird 1
well 1
what 2
when 16
where 3
which 2
while 6
who 14
why 1
will 3
wings 1
wipe 1
with 25
wonderful 1
wont 3
work 4
workers 1
working 2
works 2
worshiping 1
would 1
writer 3
written 1
wrote 1
year 1
